,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29562.0,29364.0,29364.0,29364.0,29364.0,29364.0,29363.0,29363.0,29356.0,29356.0,29562.0,29356.0,29313.0,29313.0,29313.0,29313.0,29562.0,29562.0,29562.0,29313.0,29313.0,29562.0,29562.0,29562.0
mean,243409.27220756377,19393.0,1691.4740207022528,12855.61338880996,1285563.7646640958,31282.19240917394,15.45473919220621,69.81838170624451,13130.997936540152,1313102.2783302888,31997.551687977808,23.554089709762533,68.1042216358839,1361.7525877816115,1385.6102370249284,16.284191527039912,17.206307042637242,0.34600190709712575,0.5667824547064433,11.915029118278104,1404.6827640227498,1510.0456806104373,5.353488213653086,1531.6561802313781,1507.2441068265432,10.30416538737079,14.55975164602736,0.2825026438781428,0.20809879575614915,0.006731614911034436,0.0016913605304106623,133.21933563358365,127.48186811312387,110.22126701463515,1.0,809.9442527569176,3.7507272850280766
std,140006.7453820745,0.0,1444.0372852362461,1077.9614617607983,107795.73836917145,860.5522031225421,10.817158802759197,22.332601721950294,1541.1900493023777,154118.9563965116,1280.090407889327,16.64403547833247,23.744500176428538,466.9654901602539,487.1254237827048,30.834897562063198,30.264585037862496,0.4757018959764823,1.9937241008111863,5.855388382490427,486.09840087683847,573.3367752035372,3.2752399125333107,548.1105735951817,580.0627851982445,31.918825329135625,29.242261178012935,0.4502241832271967,2.0473265577106248,0.0817711835444766,0.041092054574312406,60.68793510183382,60.193530170633814,58.911307303533945,0.0,504.9341793009726,2.030901204496406
min,4799.0,19393.0,1.0,10397.0,1039705.0,30325.0,4.0,21.0,10140.0,1014002.0,30140.0,1.0,3.0,515.0,1.0,-13.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,5.0,1.0,-40.0,0.0,0.0,-2.0,0.0,0.0,50.0,42.0,30.0,1.0,197.0,1.0
25%,127717.25,19393.0,504.0,12889.0,1288903.0,30466.0,6.0,41.0,11697.0,1169703.0,30792.0,6.0,44.0,945.0,947.0,-1.0,0.0,0.0,-1.0,8.0,1000.0,1126.0,4.0,1145.0,1124.0,-8.0,0.0,0.0,-1.0,0.0,0.0,85.0,77.0,61.0,1.0,373.0,2.0
50%,255438.5,19393.0,1015.0,12892.0,1289203.0,30977.0,13.0,82.0,13232.0,1323202.0,32211.0,22.0,74.0,1335.0,1350.0,6.0,6.0,0.0,0.0,11.0,1402.0,1552.0,5.0,1600.0,1553.0,2.0,2.0,0.0,0.0,0.0,0.0,115.0,112.0,95.0,1.0,666.0,3.0
75%,360894.75,19393.0,2865.0,13232.0,1323202.0,32211.0,17.0,85.0,14679.0,1467903.0,33192.0,37.0,91.0,1750.0,1818.0,22.0,22.0,1.0,1.0,14.0,1829.0,1957.0,6.0,1955.0,1957.0,17.0,17.0,1.0,1.0,0.0,0.0,165.0,161.0,142.0,1.0,1085.0,5.0
max,483220.0,19393.0,4999.0,14771.0,1477101.0,32575.0,36.0,91.0,15376.0,1537602.0,34819.0,72.0,93.0,2220.0,2359.0,480.0,480.0,1.0,12.0,133.0,2400.0,2400.0,105.0,2355.0,2400.0,452.0,452.0,1.0,12.0,1.0,1.0,340.0,384.0,353.0,1.0,2329.0,10.0
