,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,499278.0,490240.0,490240.0,490240.0,490240.0,490240.0,489826.0,489826.0,489520.0,489520.0,499278.0,489520.0,488073.0,488073.0,488073.0,488073.0,499278.0,499278.0,499278.0,488073.0,488073.0,499278.0,499278.0,499278.0
mean,249638.5,19993.962359647332,2261.6605979033725,12672.861311734145,1267288.7765693662,31721.959601664803,26.22423779938231,56.220820865329536,12672.90353270122,1267292.9988243023,31722.023001213754,26.224452108845174,56.21769835642668,1326.6301739712144,1334.978229030679,10.984552464099217,13.607669712793733,0.21209611618798957,0.14427423302872064,15.319711489386027,1357.2055382931899,1474.4736578689328,6.933522634417389,1498.6067181009378,1480.290249632293,7.253685411813397,13.73073495153389,0.21337996570185197,-0.020550204580052574,0.019053513273166452,0.003388893562303967,136.02150505329695,132.7546617001965,110.51636742864285,1.0,792.9743669859276,3.6477934136893673
std,144129.28818693172,396.49374972785245,1843.9344119451855,1522.1640705412462,152216.1131309422,1296.8912926152148,16.790861895620754,26.462515098181825,1522.1633116108603,152216.03727358681,1296.9090204033212,16.790074536652472,26.462767389905302,469.6254221695625,485.23924843990136,38.26540512408362,37.17738376133146,0.408792972740569,2.15898152514068,8.76279785731947,486.80910395114836,511.21455816754207,4.8744249818169125,488.91657448621487,514.5060827041384,40.331603574423376,37.195262754086926,0.4096941540216502,2.2716428731415172,0.1367132559052583,0.0581155377443146,74.42174592417072,74.02659914568014,71.8717696894524,0.0,601.8401747070841,2.3713859212159902
min,0.0,19393.0,1.0,10135.0,1013503.0,30070.0,1.0,1.0,10135.0,1013503.0,30070.0,1.0,1.0,5.0,1.0,-47.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-67.0,0.0,0.0,-2.0,0.0,0.0,21.0,15.0,7.0,1.0,31.0,1.0
25%,124819.25,19790.0,694.0,11292.0,1129202.0,30627.0,12.0,34.0,11292.0,1129202.0,30627.0,12.0,34.0,925.0,927.0,-5.0,0.0,0.0,-1.0,10.0,940.0,1100.0,4.0,1116.0,1105.0,-11.0,0.0,0.0,-1.0,0.0,0.0,83.0,79.0,59.0,1.0,358.0,2.0
50%,249638.5,19977.0,1712.0,12889.0,1288903.0,31453.0,25.0,54.0,12889.0,1288903.0,31453.0,25.0,54.0,1320.0,1326.0,-1.0,0.0,0.0,-1.0,13.0,1339.0,1506.0,6.0,1520.0,1511.0,-3.0,0.0,0.0,-1.0,0.0,0.0,115.0,113.0,90.0,1.0,621.0,3.0
75%,374457.75,20366.0,3504.0,13930.0,1393003.0,32467.0,42.0,82.0,13930.0,1393003.0,32467.0,42.0,82.0,1722.0,1733.0,10.0,10.0,0.0,0.0,18.0,1748.0,1908.0,8.0,1910.0,1913.0,11.0,11.0,0.0,0.0,0.0,0.0,165.0,163.0,140.0,1.0,1017.0,5.0
max,499277.0,21171.0,7438.0,16218.0,1621801.0,35991.0,78.0,93.0,16218.0,1621801.0,35991.0,78.0,93.0,2359.0,2400.0,1449.0,1449.0,1.0,12.0,217.0,2400.0,2400.0,165.0,2359.0,2400.0,1454.0,1454.0,1.0,12.0,1.0,1.0,650.0,719.0,650.0,1.0,4983.0,11.0
