,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,24560,24560,24560,24560,24560,24560,24560,24560,24560,24560,24560,24560,24560,24560
unique,30,1,1,412,9,8,7,7,160,157,41,41,19,18
top,2014-04-04,EV,EV,N903EV,ATL,"Atlanta, GA",TX,Texas,CLE,"Cleveland, OH",TX,Texas,1000-1059,1600-1659
freq,886,24560,24560,120,6393,6393,7753,7753,666,666,3136,3136,2128,2260
