,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,81182.0,79757.0,79757.0,79757.0,79757.0,79757.0,79737.0,79737.0,79719.0,79719.0,81182.0,79719.0,79573.0,79573.0,79573.0,79573.0,81182.0,81182.0,81182.0,79573.0,79573.0,81182.0,81182.0,81182.0
mean,235026.40018723364,19807.170862999188,2570.1298194180977,12016.306151609962,1201633.8938927348,31036.70828508783,19.31100490256461,54.47901012539725,12760.258813530092,1276028.4814121358,31981.351789805623,27.469475992215024,55.88385356359784,1383.432361853613,1396.3861353862358,10.093596800280853,12.03432927517334,0.20442092857053298,0.10017929460736989,16.918030525352094,1423.2803968044948,1556.3956647725136,5.792395790213123,1572.9227784484244,1559.0239466124763,5.940771367172282,12.11841956442512,0.20447890616163775,-0.08168599901976802,0.017848784213249244,0.0019708802443891504,126.99207952501786,123.22202254533573,100.51317657999573,1.0,733.349153753295,3.430452563376118
std,135303.3358152131,392.15495526153575,1785.7788343653142,1386.1567100495415,138614.65676491856,768.4087622083794,13.281023293855823,24.789422881371014,1588.1470445093787,158814.47108869595,1378.0408524255688,16.14594803545096,23.293373891152935,447.5463108437152,460.6800415112729,31.225173557767977,30.360934577891953,0.4032803635995643,1.9603867212995854,9.386958108795183,462.7539696114927,486.7495881031947,3.657695576010845,465.6517961272688,492.1177763085486,33.85977056818133,30.668942576519818,0.4033228574905094,2.087751684358671,0.13240249640816265,0.04435110038327301,62.07614994466906,61.80459960426883,59.988524120193844,0.0,516.165792851168,2.059519008378956
min,3.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,2.0,25.0,1.0,-22.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-59.0,0.0,0.0,-2.0,0.0,0.0,39.0,27.0,10.0,1.0,73.0,1.0
25%,120572.25,19393.0,1028.5,10397.0,1039705.0,30397.0,13.0,34.0,11278.0,1127802.0,30785.0,12.0,36.0,1010.0,1017.0,-3.0,0.0,0.0,-1.0,11.0,1033.0,1201.0,4.0,1213.0,1204.0,-11.0,0.0,0.0,-1.0,0.0,0.0,80.0,77.0,57.0,1.0,368.0,2.0
50%,236445.5,19790.0,2137.5,12266.0,1226603.0,30977.0,13.0,41.0,12896.0,1289605.0,31650.0,27.0,53.0,1351.0,1400.0,-1.0,0.0,0.0,-1.0,15.0,1420.0,1602.0,5.0,1608.0,1605.0,-3.0,0.0,0.0,-1.0,0.0,0.0,113.0,108.0,86.0,1.0,594.0,3.0
75%,347196.0,20366.0,4285.0,12953.0,1295302.0,31703.0,32.0,82.0,14107.0,1410702.0,33105.0,42.0,74.0,1740.0,1758.0,10.0,10.0,0.0,0.0,20.0,1815.0,1947.0,7.0,1945.0,1950.0,10.0,10.0,0.0,0.0,0.0,0.0,150.0,148.0,122.0,1.0,895.0,4.0
max,468928.0,20366.0,6189.0,14771.0,1477101.0,32575.0,48.0,91.0,15919.0,1591902.0,35550.0,78.0,93.0,2359.0,2400.0,895.0,895.0,1.0,12.0,153.0,2400.0,2400.0,86.0,2359.0,2400.0,893.0,893.0,1.0,12.0,1.0,1.0,579.0,606.0,563.0,1.0,4502.0,11.0
