,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,2928108,2928108,2928108,2923860,2928108,2928108,2928108,2928108,2928108,2928108,2928108,2928108,2928108,2928108
unique,184,14,14,4629,322,318,53,53,321,317,53,53,19,19
top,2014-08-08,WN,WN,N480HA,ATL,"Chicago, IL",CA,California,ATL,"Chicago, IL",CA,California,0800-0859,1600-1659
freq,17586,595295,595295,2090,184461,195124,371717,371717,184513,195368,371738,371738,207455,204651
