,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,469489,469489,469489,468844,469489,469489,469489,469489,469489,469489,469489,469489,469489,469489
unique,30,14,14,4324,312,308,53,53,312,308,53,53,19,19
top,2014-09-18,WN,WN,N478HA,ATL,"Chicago, IL",CA,California,ATL,"Chicago, IL",CA,California,0800-0859,1600-1659
freq,16668,94721,94721,371,30196,32285,59820,59820,30198,32316,59801,59801,33951,33614
