,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,84206.0,82708.0,82708.0,82708.0,82708.0,82708.0,82688.0,82688.0,82657.0,82657.0,84206.0,82657.0,82530.0,82530.0,82530.0,82530.0,84206.0,84206.0,84206.0,82530.0,82530.0,84206.0,84206.0,84206.0
mean,252570.0852670831,19833.602641141963,2650.0892216706648,11991.986176757,1199201.896016911,31026.4787069805,19.728511032467996,54.61426739187231,12762.346768638814,1276237.235256395,31983.742500534405,27.02447569056837,55.869819252784836,1398.3021518656628,1415.2670358369203,12.882635295255598,14.451371088649223,0.26822072834550464,0.3064153407167384,15.752539667182663,1439.6115034829722,1543.911429159055,5.606760467957947,1556.3672066123554,1543.8630122070726,8.031576396461892,13.312771113534472,0.2434145159335999,0.056343147946201384,0.018122224069543738,0.0017813457473339193,126.76633494050306,122.3480552526354,100.99326305585848,1.0,726.7611334109208,3.398225779635655
std,145350.4059062723,398.9101854175017,1828.0983444081385,1371.9547036793324,137194.45833021167,760.9170689140996,13.638899409841862,24.78628610443418,1588.2170821952611,158821.498686533,1372.5361585521232,16.16420348933011,23.102790102064453,461.8023095112251,473.67270627013266,31.464625841530324,30.64291836843676,0.4430358251976891,1.983687925536264,7.630559223717742,474.36756861370634,513.9284647984398,3.467721682652091,497.23757571720836,520.4954427996574,33.0659155138806,30.019088112325445,0.4291458037447022,2.0526282314489426,0.13339422918433147,0.04216863374413183,61.998899795662076,61.73611899038789,60.28091334565391,0.0,510.6629639564712,2.0367775087554203
min,2322.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,2.0,5.0,1.0,-22.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-57.0,0.0,0.0,-2.0,0.0,0.0,38.0,25.0,13.0,1.0,73.0,1.0
25%,128399.25,19393.0,1117.0,10397.0,1039705.0,30397.0,13.0,34.0,11292.0,1129202.0,30792.0,12.0,35.0,1010.0,1020.0,-3.0,0.0,0.0,-1.0,11.0,1036.0,1154.0,4.0,1201.0,1156.0,-9.0,0.0,0.0,-1.0,0.0,0.0,80.0,77.0,57.0,1.0,357.0,2.0
50%,253747.0,19790.0,2156.5,12266.0,1226603.0,30466.0,13.0,41.0,12892.0,1289203.0,31703.0,27.0,53.0,1405.0,1418.0,1.0,1.0,0.0,0.0,14.0,1432.0,1559.0,5.0,1605.0,1601.0,-1.0,0.0,0.0,-1.0,0.0,0.0,111.0,107.0,85.0,1.0,591.0,3.0
75%,383167.75,20366.0,4348.0,12953.0,1295302.0,31703.0,32.0,82.0,14107.0,1410702.0,33158.0,41.0,74.0,1805.0,1824.0,16.0,16.0,1.0,1.0,19.0,1837.0,1955.0,6.0,1955.0,1956.0,14.0,14.0,0.0,0.0,0.0,0.0,152.0,149.0,126.0,1.0,907.0,4.0
max,503331.0,20366.0,6189.0,14771.0,1477101.0,32575.0,48.0,91.0,15919.0,1591902.0,35550.0,78.0,93.0,2359.0,2400.0,982.0,982.0,1.0,12.0,133.0,2400.0,2400.0,115.0,2359.0,2400.0,968.0,968.0,1.0,12.0,1.0,1.0,610.0,648.0,620.0,1.0,4502.0,11.0
