,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,471949.0,441622.0,441622.0,441622.0,441622.0,441622.0,441266.0,441266.0,440453.0,440453.0,471949.0,440453.0,439620.0,439620.0,439620.0,439620.0,471949.0,471949.0,471949.0,439620.0,439620.0,471949.0,471949.0,471949.0
mean,235974.0,20006.004481416425,2304.719605296335,12667.144250755908,1266717.055412767,31728.46488497698,26.085589756520303,56.296790543045965,12666.97715854891,1266700.3461941862,31728.41594112923,26.08642459248775,56.292771040938746,1324.1379979616443,1340.554716476987,16.049397448496677,18.38225903600817,0.26781953797591607,0.4689304427768544,16.106504919934913,1364.0102115277407,1494.2744606121425,7.3576022867366095,1510.8740287615824,1501.1325771421696,12.745314134934716,18.77592921159183,0.27294936536099357,0.3144579409490014,0.0653714702224181,0.0031295754414142206,137.4006153207232,135.08687502843364,111.63641326600246,1.0,788.374358246336,3.6298477165964966
std,136240.08543437818,395.7186030048174,1857.378202064248,1522.619089481109,152261.60122227125,1301.704506365001,16.917465095402946,26.551846889776552,1522.6306467958639,152262.7570474493,1301.6818841305121,16.91527287822018,26.549780165642684,459.33267345119003,473.99907808223674,45.53911629226356,44.46394233640496,0.44282352815017284,2.5038654620053453,9.976716754583716,474.1305703740627,492.9823743700378,6.342738873664786,470.66930759266324,496.4124391715614,48.05817024523502,44.88682750917404,0.4454755444690609,2.645730550201995,0.24718044130298492,0.055855060732562405,74.1306743936462,74.32930530986701,72.11705105725466,0.0,592.3422325670903,2.3323775179831916
min,0.0,19393.0,1.0,10135.0,1013503.0,30070.0,1.0,1.0,10135.0,1013503.0,30070.0,1.0,1.0,5.0,1.0,-112.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-112.0,0.0,0.0,-2.0,0.0,0.0,19.0,16.0,7.0,1.0,31.0,1.0
25%,117987.0,19790.0,707.0,11292.0,1129202.0,30615.0,12.0,34.0,11292.0,1129202.0,30615.0,12.0,34.0,930.0,940.0,-4.0,0.0,0.0,-1.0,10.0,955.0,1123.0,4.0,1130.0,1128.0,-11.0,0.0,0.0,-1.0,0.0,0.0,85.0,80.0,59.0,1.0,357.0,2.0
50%,235974.0,19977.0,1780.0,12889.0,1288903.0,31453.0,24.0,54.0,12889.0,1288903.0,31453.0,24.0,54.0,1320.0,1333.0,0.0,0.0,0.0,0.0,14.0,1346.0,1523.0,6.0,1527.0,1528.0,-1.0,0.0,0.0,-1.0,0.0,0.0,118.0,116.0,92.0,1.0,622.0,3.0
75%,353961.0,20366.0,3583.0,13931.0,1393102.0,32467.0,42.0,82.0,13931.0,1393102.0,32467.0,42.0,82.0,1715.0,1729.0,17.0,17.0,1.0,1.0,18.0,1743.0,1909.0,8.0,1910.0,1915.0,17.0,17.0,1.0,1.0,0.0,0.0,170.0,168.0,142.0,1.0,1020.0,5.0
max,471948.0,21171.0,8404.0,16218.0,1621801.0,35991.0,78.0,93.0,16218.0,1621801.0,35991.0,78.0,93.0,2359.0,2400.0,1560.0,1560.0,1.0,12.0,178.0,2400.0,2400.0,246.0,2359.0,2400.0,1530.0,1530.0,1.0,12.0,1.0,1.0,670.0,764.0,688.0,1.0,4983.0,11.0
