,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,26359,26359,26359,26359,26359,26359,26359,26359,26359,26359,26359,26359,26359,26359
unique,31,1,1,402,9,8,7,7,160,158,41,41,19,19
top,2014-07-09,EV,EV,N905EV,IAH,"Houston, TX",TX,Texas,BNA,"Nashville, TN",TX,Texas,1000-1059,1600-1659
freq,909,26359,26359,127,7501,7501,8982,8982,589,589,3486,3486,2371,2332
