,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,85232.0,84401.0,84401.0,84401.0,84401.0,84401.0,84368.0,84368.0,84351.0,84351.0,85232.0,84351.0,84162.0,84162.0,84162.0,84162.0,85232.0,85232.0,85232.0,84162.0,84162.0,85232.0,85232.0,85232.0
mean,253970.76833818285,19815.638809367374,2682.1423761028723,12021.444633470997,1202147.7234958701,31043.616916181716,19.541545428946876,54.68148113384644,12765.921531819034,1276594.7544584193,31992.292683499156,27.48206072836493,56.01330486202365,1388.5585695513423,1399.4098766602292,13.47928342081255,15.170400824634779,0.24430990154145094,0.3137166621248563,16.909420633415515,1424.368243883937,1530.5771834358811,5.913824376711598,1562.205709123334,1531.4553828644591,8.849433235902188,14.90104797889784,0.23798151184620137,0.0934269622870179,0.010148770414867656,0.0024051999249108317,128.83110803454102,124.47871961217652,101.67183527007438,1.0,744.9155950816595,3.474281959827295
std,146071.11891208886,392.90808351393713,1778.7132927497382,1378.0840240346074,137807.39560632434,769.4583112471222,13.481269741747234,24.865026368719075,1587.4976939926814,158749.5330231279,1382.1772649259494,16.154343855151946,23.370739544652494,458.9541870912241,477.6371945624226,36.94989627108415,36.16999216041591,0.4296798354842284,2.2131805998465937,9.793127165334203,480.33129439453865,519.900745295168,4.356056619876755,487.4179719798161,526.1241999170828,39.41218620918526,36.28410376094838,0.42585028662685925,2.348015277644595,0.10022919105316543,0.048984110588429206,63.58371586378284,63.10454221858021,61.11888872267635,0.0,526.9070641712748,2.0986612385553793
min,201.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,1.0,15.0,1.0,-20.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-75.0,0.0,0.0,-2.0,0.0,0.0,35.0,27.0,13.0,1.0,73.0,1.0
25%,126407.25,19393.0,1190.0,10397.0,1039705.0,30397.0,13.0,34.0,11278.0,1127802.0,30792.0,12.0,36.0,1006.0,1009.0,-3.0,0.0,0.0,-1.0,11.0,1027.0,1144.0,4.0,1205.0,1146.0,-11.0,0.0,0.0,-1.0,0.0,0.0,80.0,78.0,57.0,1.0,368.0,2.0
50%,253944.0,19790.0,2251.0,12266.0,1226603.0,30977.0,13.0,41.0,12896.0,1289605.0,31703.0,27.0,53.0,1356.0,1402.0,0.0,0.0,0.0,0.0,15.0,1420.0,1553.0,5.0,1606.0,1556.0,-3.0,0.0,0.0,-1.0,0.0,0.0,115.0,109.0,86.0,1.0,601.0,3.0
75%,381019.25,20366.0,4361.0,12953.0,1295302.0,31703.0,32.0,82.0,14107.0,1410702.0,33158.0,42.0,74.0,1754.0,1809.0,14.0,14.0,0.0,0.0,20.0,1826.0,1946.0,7.0,1950.0,1949.0,13.0,13.0,0.0,0.0,0.0,0.0,155.0,149.0,124.0,1.0,909.0,4.0
max,503085.0,20366.0,6189.0,14771.0,1477101.0,32575.0,48.0,91.0,15919.0,1591902.0,35550.0,78.0,93.0,2359.0,2400.0,886.0,886.0,1.0,12.0,162.0,2400.0,2400.0,130.0,2359.0,2400.0,875.0,875.0,1.0,12.0,1.0,1.0,576.0,595.0,560.0,1.0,4502.0,11.0
