,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,207643,207643,207643,207113,207643,207643,207643,207643,207643,207643,207643,207643,207643,207643
unique,31,14,14,4275,12,11,9,9,266,262,52,52,19,19
top,2014-07-18,WN,WN,N586SW,ATL,"Chicago, IL",TX,Texas,LAX,"Chicago, IL",CA,California,0800-0859,1600-1659
freq,7013,32179,32179,136,31808,34041,40073,40073,6713,7126,29498,29498,16711,14857
