,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,202459.0,199896.0,199896.0,199896.0,199896.0,199896.0,199784.0,199784.0,199705.0,199705.0,202459.0,199705.0,199217.0,199217.0,199217.0,199217.0,202459.0,202459.0,202459.0,199217.0,199217.0,202459.0,202459.0,202459.0
mean,253885.5084585027,20015.202969490118,2306.496317772981,12413.814648891874,1241384.3324179216,31129.702206372647,21.235178480581254,62.19734365970394,12835.050933769306,1283507.6437105783,31969.74423463516,27.11264502936397,58.646718594876,1379.5175912159993,1387.805854044103,12.518859807099691,14.576679873534237,0.23268599671829351,0.2561932204746468,17.614583750450485,1410.7503053297562,1524.4981447635262,6.517077689592148,1550.8359766668807,1525.9789940161738,9.385208089671062,15.075450388270077,0.24188196790434552,0.1296274916297304,0.013336033468504734,0.0026770852370109504,143.4998493522145,140.81013668512225,116.69495575176818,1.0,868.6468124410375,3.941578294864639
std,146357.9628424269,381.34407791913685,1827.444119833337,1379.2193330533896,137921.21356265686,849.2236121931132,15.864892118863237,24.749828242269928,1549.7585298361598,154975.68166106954,1363.7282819666289,16.80059257239873,25.620436830204135,471.797708415372,488.28331510994633,36.680220688434446,35.746362465729085,0.4225448104455757,2.1844918096226165,9.626757321613255,491.7481611357941,529.6847296446937,4.97029896112125,502.6007249980813,535.9290182618049,39.23698505698085,36.21139924154825,0.42822424264732767,2.3207358515501646,0.11470940969242129,0.051671381239325305,76.51945184016921,75.8385902479163,73.80951954451888,0.0,634.3819593460298,2.4985795370571986
min,0.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,1.0,5.0,1.0,-43.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-91.0,0.0,0.0,-2.0,0.0,0.0,35.0,25.0,12.0,1.0,67.0,1.0
25%,127172.0,19790.0,751.0,11292.0,1129202.0,30397.0,8.0,41.0,11298.0,1129803.0,30792.0,12.0,36.0,1000.0,959.0,-4.0,0.0,0.0,-1.0,12.0,1016.0,1140.0,4.0,1159.0,1142.0,-10.0,0.0,0.0,-1.0,0.0,0.0,85.0,83.0,61.0,1.0,391.0,2.0
50%,253811.0,19977.0,1712.0,12889.0,1288903.0,30977.0,17.0,74.0,12892.0,1289203.0,31703.0,27.0,63.0,1350.0,1355.0,0.0,0.0,0.0,0.0,15.0,1412.0,1551.0,5.0,1603.0,1554.0,-2.0,0.0,0.0,-1.0,0.0,0.0,125.0,122.0,97.0,1.0,689.0,3.0
75%,380558.0,20366.0,3565.0,13930.0,1393003.0,31703.0,34.0,82.0,14107.0,1410702.0,33038.0,42.0,82.0,1755.0,1810.0,13.0,13.0,0.0,0.0,20.0,1826.0,1946.0,7.0,1950.0,1949.0,14.0,14.0,0.0,0.0,0.0,0.0,180.0,177.0,151.0,1.0,1167.0,5.0
max,507484.0,21171.0,8401.0,14771.0,1477101.0,32575.0,48.0,91.0,16218.0,1621801.0,35550.0,78.0,93.0,2359.0,2400.0,1275.0,1275.0,1.0,12.0,165.0,2400.0,2400.0,142.0,2359.0,2400.0,1264.0,1264.0,1.0,12.0,1.0,1.0,642.0,655.0,616.0,1.0,4962.0,11.0
