,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,1173163,1173163,1173163,1171076,1173163,1173163,1173163,1173163,1173163,1173163,1173163,1173163,1173163,1173163
unique,184,14,14,4554,12,11,9,9,270,266,52,52,19,19
top,2014-07-18,WN,WN,N904EV,ATL,"Chicago, IL",TX,Texas,LAX,"Chicago, IL",CA,California,0800-0859,1600-1659
freq,7013,185799,185799,657,184461,195124,226517,226517,36644,41589,164502,164502,89843,88423
