,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,1497860,1497860,1497860,1495269,1497860,1497860,1497860,1497860,1497860,1497860,1497860,1497860,1497860,1497860
unique,92,14,14,4487,316,312,53,53,316,312,53,53,19,19
top,2014-08-08,WN,WN,N491HA,ATL,"Chicago, IL",CA,California,ATL,"Chicago, IL",CA,California,0800-0859,1600-1659
freq,17586,299532,299532,1040,93573,99816,191277,191277,93604,99956,191290,191290,107045,103788
