,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,142506.0,139446.0,139446.0,139446.0,139446.0,139446.0,139333.0,139333.0,139234.0,139234.0,142506.0,139234.0,138880.0,138880.0,138880.0,138880.0,142506.0,142506.0,142506.0,138880.0,138880.0,142506.0,142506.0,142506.0
mean,243571.6190265673,20366.0,4785.645039507109,11983.156519725486,1198318.8695774213,31019.81103251793,29.252880580466787,49.87548594445146,12517.266634387324,1251729.2232537577,32066.46008589112,32.27866195107575,52.98873731632352,1395.0354300871543,1406.691450453939,11.640312378985413,14.340877472283177,0.22398634596904896,0.18982258365245328,18.325651496773915,1435.8787150208493,1534.8756410072253,5.472054239625379,1553.2430353809664,1538.7052803194622,9.418512384792626,15.206163594470047,0.24075460829493087,0.13888968894009215,0.02246221211738453,0.002982330568537465,100.2155207500035,98.03927851382488,74.24976958525346,1.0,497.05603974569493,2.47917982400741
std,141724.28506816283,0.0,861.2249521348247,1194.8127579942554,119480.6933322202,542.7348274161488,15.603893471629654,21.91606461235903,1573.3283410061417,157332.6962194953,1475.7315114049693,15.052594146610682,17.209699438666586,434.27148237433545,446.7043922049488,36.006841170133704,34.77921622114154,0.41691451075236147,2.2574125946691908,9.583854678453411,448.39295427984024,471.1349728693562,3.675370404721513,447.2018670767484,475.2105573985759,38.42020895571499,35.292083649334145,0.4275431476172306,2.360246327655802,0.14818169666888872,0.05452941534990348,35.846906319597224,36.778343346740684,33.9138185997961,0.0,266.1412829195381,1.1403422835950439
min,3.0,20366.0,2500.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,11.0,1.0,1.0,-32.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-68.0,0.0,0.0,-2.0,0.0,0.0,35.0,27.0,9.0,1.0,73.0,1.0
25%,121307.75,20366.0,4281.0,11292.0,1129202.0,30397.0,13.0,34.0,11109.0,1110902.0,30785.0,21.0,38.0,1020.0,1022.0,-5.0,0.0,0.0,-1.0,13.0,1039.0,1148.0,4.0,1159.0,1151.0,-10.0,0.0,0.0,-1.0,0.0,0.0,72.0,69.0,47.0,1.0,282.0,2.0
50%,243906.5,20366.0,4695.0,12266.0,1226603.0,30977.0,34.0,41.0,12264.0,1226402.0,31703.0,36.0,52.0,1400.0,1411.0,-2.0,0.0,0.0,-1.0,16.0,1428.0,1543.0,5.0,1554.0,1546.0,-2.0,0.0,0.0,-1.0,0.0,0.0,95.0,93.0,70.0,1.0,462.0,2.0
75%,364137.75,20366.0,5419.0,12266.0,1226603.0,31453.0,48.0,74.0,13487.0,1348702.0,33198.0,47.0,72.0,1741.0,1757.0,11.0,11.0,0.0,0.0,21.0,1817.0,1918.0,6.0,1920.0,1921.0,13.0,13.0,0.0,0.0,0.0,0.0,125.0,123.0,97.0,1.0,667.0,3.0
max,517522.0,20366.0,6189.0,14107.0,1410702.0,32211.0,48.0,85.0,15919.0,1591902.0,35550.0,55.0,87.0,2359.0,2400.0,665.0,665.0,1.0,12.0,160.0,2400.0,2400.0,107.0,2359.0,2400.0,653.0,653.0,1.0,12.0,1.0,1.0,233.0,429.0,414.0,1.0,1389.0,6.0
