,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84792.0,84017.0,84017.0,84017.0,84017.0,84017.0,83999.0,83999.0,83989.0,83989.0,84792.0,83989.0,83873.0,83873.0,83873.0,83873.0,84792.0,84792.0,84792.0,83873.0,83873.0,84792.0,84792.0,84792.0
mean,244977.50104962732,19802.644659873575,2543.5663859798096,12015.79710350033,1201582.9999646193,31034.423719218794,19.367652608736673,54.674757052552124,12754.848205019342,1275487.4158529106,31976.342461552977,27.373254552316258,55.872334654212665,1381.421195395792,1391.9949414999346,9.276372638870704,11.220752942856803,0.20017377435519002,0.046930978254400894,16.848629150347026,1418.8253907784617,1552.0666873042899,5.818357165819333,1569.4186008113973,1555.290895236281,4.981936976142501,11.187044698532304,0.19764405708630906,-0.14276346380837696,0.009375884517407302,0.0014624021134069251,127.87829040475516,123.84819906286886,101.18711623526045,1.0,735.9055335409001,3.4411619020662325
std,141556.81462069514,389.9228487131314,1764.5824135070932,1386.2959096744642,138628.56668850983,767.7952056873943,13.378372271561371,24.694536394224706,1586.142854558197,158614.05016769175,1376.3399153090218,16.11093833558148,23.179644180041244,448.45546341511175,459.4373314986295,29.327512067111055,28.46127653055458,0.400132653073545,1.8447722152597426,8.468702715558296,460.6884685386432,485.4069693933776,3.5897132950573654,468.2506554442108,490.2646784464753,31.924864702843657,28.690662860616168,0.39822452778949907,1.9648783006846084,0.09637472099359576,0.038213619501239963,62.3012041167875,61.72003801212122,60.17146460793873,0.0,513.4935261406862,2.0487865554618025
min,6.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,2.0,30.0,1.0,-20.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-56.0,0.0,0.0,-2.0,0.0,0.0,38.0,28.0,13.0,1.0,73.0,1.0
25%,124643.75,19393.0,1051.0,10397.0,1039705.0,30397.0,13.0,34.0,11278.0,1127802.0,30785.0,12.0,36.0,1008.0,1011.0,-3.0,0.0,0.0,-1.0,11.0,1030.0,1203.0,4.0,1215.0,1205.0,-11.0,0.0,0.0,-1.0,0.0,0.0,81.0,78.0,58.0,1.0,370.0,2.0
50%,247550.5,19790.0,2081.0,12266.0,1226603.0,30977.0,13.0,41.0,12892.0,1289203.0,31650.0,27.0,53.0,1350.0,1400.0,-1.0,0.0,0.0,-1.0,15.0,1418.0,1600.0,5.0,1608.0,1603.0,-3.0,0.0,0.0,-1.0,0.0,0.0,114.0,109.0,86.0,1.0,595.0,3.0
75%,373219.0,20366.0,4267.0,12953.0,1295302.0,31703.0,32.0,82.0,14107.0,1410702.0,33105.0,42.0,74.0,1740.0,1753.0,10.0,10.0,0.0,0.0,20.0,1809.0,1941.0,7.0,1942.0,1944.0,9.0,9.0,0.0,0.0,0.0,0.0,155.0,148.0,123.0,1.0,900.0,4.0
max,488229.0,20366.0,6189.0,14771.0,1477101.0,32575.0,48.0,91.0,15919.0,1591902.0,35550.0,78.0,93.0,2358.0,2400.0,1037.0,1037.0,1.0,12.0,160.0,2400.0,2400.0,115.0,2359.0,2400.0,1010.0,1010.0,1.0,12.0,1.0,1.0,609.0,600.0,575.0,1.0,4502.0,11.0
