,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,31810,31810,31810,31795,31810,31810,31810,31810,31810,31810,31810,31810,31810,31810
unique,31,1,1,620,9,9,8,8,80,79,40,40,18,18
top,2014-10-13,WN,WN,N390SW,MDW,"Chicago, IL",IL,Illinois,MDW,"Chicago, IL",CA,California,0800-0859,2200-2259
freq,1087,31810,31810,93,7125,7125,7125,7125,1510,1510,7834,7834,2569,2559
