,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,2891703,2891703,2891703,2879778,2891703,2891703,2891703,2891703,2891703,2891703,2891703,2891703,2891703,2891703
unique,181,14,14,4595,319,315,53,53,319,315,53,53,19,19
top,2014-06-27,WN,WN,N485HA,ATL,"Atlanta, GA",CA,California,ATL,"Atlanta, GA",CA,California,0800-0859,1600-1659
freq,17506,579338,579338,2131,185318,185318,367456,367456,185329,185329,367432,367432,207778,205092
