,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,25418.0,23937.0,23937.0,23937.0,23937.0,23937.0,23889.0,23889.0,23856.0,23856.0,25418.0,23856.0,23796.0,23796.0,23796.0,23796.0,25418.0,25418.0,25418.0,23796.0,23796.0,25418.0,25418.0,25418.0
mean,248531.3387756708,20366.0,4856.034424423637,11951.748682036352,1195178.125895035,31001.131993075775,28.951884491305375,50.39967739397277,12500.960775828153,1250098.5736092534,32012.218309859156,32.41978125737666,53.248131245574,1393.0067275159336,1403.8989848351923,16.321635961064462,18.676316998788487,0.2694155491498517,0.4940050967122029,18.47745824438026,1432.922056176483,1516.1421864520455,5.201374916163648,1551.0134943740657,1520.1128437290408,12.520003361909565,18.824256177508826,0.271222054126744,0.3368633383761977,0.06046895900542922,0.00334408686757416,101.09591627980171,97.02374348630022,73.35678265254664,1.0,496.4692344008183,2.479148634825714
std,143810.39887759023,0.0,859.6107864203728,1199.638149706085,119963.2095591222,541.3408972507569,15.777316583110942,21.80847855046839,1582.5542092799287,158255.27303124513,1482.9216882059816,15.236010262980907,17.149523341863507,435.7750590692882,448.55281712643466,42.05140368249917,40.88636415401765,0.4436654530594687,2.60027338883148,10.288740259361553,450.0958963678576,479.5575621837752,3.5902742171336337,448.88267815428327,483.03727064297135,44.44514527330487,40.9276325851912,0.44459977316292393,2.7130907968148996,0.23835834203446862,0.05773244390742601,35.406748051937754,36.075893936842654,32.85206669292205,0.0,263.1218589522888,1.1309480560083633
min,9376.0,20366.0,2502.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,11.0,530.0,1.0,-34.0,0.0,0.0,-2.0,1.0,2.0,1.0,1.0,2.0,1.0,-58.0,0.0,0.0,-2.0,0.0,0.0,38.0,27.0,13.0,1.0,67.0,1.0
25%,119571.0,20366.0,4317.0,11292.0,1129202.0,30397.0,13.0,34.0,11066.0,1106603.0,30781.0,21.0,38.0,1014.0,1021.0,-4.0,0.0,0.0,-1.0,12.0,1040.0,1142.0,3.0,1204.0,1146.0,-11.0,0.0,0.0,-1.0,0.0,0.0,74.0,69.0,47.0,1.0,285.5,2.0
50%,248660.5,20366.0,4887.0,12266.0,1226603.0,30977.0,34.0,41.0,12264.0,1226402.0,31637.0,37.0,52.0,1355.0,1358.0,-1.0,0.0,0.0,-1.0,16.0,1417.0,1521.0,4.0,1540.0,1524.0,-2.0,0.0,0.0,-1.0,0.0,0.0,97.0,93.0,69.0,1.0,466.0,2.0
75%,370052.5,20366.0,5527.0,12266.0,1226603.0,31453.0,48.0,74.0,13487.0,1348702.0,33198.0,47.0,72.0,1740.0,1751.0,17.0,17.0,1.0,1.0,21.0,1811.0,1906.0,6.0,1920.0,1909.0,18.0,18.0,1.0,1.0,0.0,0.0,127.0,121.0,96.0,1.0,674.0,3.0
max,499245.0,20366.0,6189.0,14107.0,1410702.0,31703.0,48.0,82.0,15919.0,1591902.0,35550.0,55.0,87.0,2257.0,2359.0,513.0,513.0,1.0,12.0,170.0,2359.0,2400.0,113.0,2357.0,2400.0,548.0,548.0,1.0,12.0,1.0,1.0,232.0,299.0,239.0,1.0,1345.0,6.0
