,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,26095.0,22347.0,22347.0,22347.0,22347.0,22347.0,22310.0,22310.0,22255.0,22255.0,26095.0,22255.0,22199.0,22199.0,22199.0,22199.0,26095.0,26095.0,26095.0,22199.0,22199.0,26095.0,26095.0,26095.0
mean,235603.264495114,20366.0,4854.342172830044,11808.54424219199,1180857.7727917226,30971.63514083158,28.260049817972792,49.0290093887718,12499.37374976049,1249939.8729641694,31981.2605479977,31.846445679248898,52.37267675799961,1408.6810500095803,1435.9969123372264,23.295207410390656,25.17926343580794,0.35816888172909117,0.9641115138497337,17.751008516360375,1463.654683998207,1544.1340372949899,5.3045607728600315,1565.857252347193,1549.3037968995732,19.965989458984637,25.123564124510114,0.35429523852425787,0.8080994639398171,0.1458516957271508,0.0034489365778884846,100.1537842498563,96.45673228523808,73.41817198972927,1.0,484.18635753975855,2.4229545890017246
std,136684.4382877904,0.0,848.5202505600228,1189.1025182494252,118909.57062172749,554.1052771156209,15.701766226529225,21.78896306902016,1582.1282023426115,158212.67701141705,1484.6603022951876,15.176180679699435,17.757721043148287,436.105077508588,447.69572314275695,47.01498887721197,45.909083603771585,0.4794728577988339,2.8899472806265925,10.316558960268,448.5965051207388,480.56647868082337,3.5546655178149327,446.33107825022796,483.51010711509224,49.64813814735899,46.38766421839504,0.47830997101490413,3.009089929769626,0.3529642373090799,0.058627409392386746,36.70031441620212,38.64109308434106,35.42918044727441,0.0,266.9273709870344,1.13951393067666
min,2.0,20366.0,2500.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,11.0,530.0,1.0,-46.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-48.0,0.0,0.0,-2.0,0.0,0.0,36.0,27.0,12.0,1.0,73.0,1.0
25%,118437.0,20366.0,4300.5,10397.0,1039705.0,30397.0,13.0,34.0,11066.0,1106603.0,30721.0,21.0,37.0,1026.0,1045.0,-3.0,0.0,0.0,-1.0,12.0,1102.0,1159.0,3.0,1206.0,1203.0,-10.0,0.0,0.0,-1.0,0.0,0.0,71.0,66.0,45.0,1.0,253.0,2.0
50%,239010.0,20366.0,4925.0,11618.0,1161802.0,30977.0,17.0,41.0,12264.0,1226402.0,31504.0,36.0,52.0,1415.0,1432.0,2.0,2.0,0.0,0.0,15.0,1446.5,1554.0,4.0,1605.0,1558.0,2.0,2.0,0.0,0.0,0.0,0.0,94.0,90.0,68.0,1.0,448.0,2.0
75%,359740.5,20366.0,5496.0,12266.0,1226603.0,31453.0,48.0,74.0,13495.0,1349503.0,33198.0,47.0,72.0,1751.0,1814.0,32.0,32.0,1.0,2.0,20.0,1831.0,1929.0,6.0,1930.0,1933.0,31.0,31.0,1.0,2.0,0.0,0.0,125.0,121.0,97.0,1.0,667.0,3.0
max,469386.0,20366.0,6189.0,14107.0,1410702.0,31703.0,48.0,82.0,15919.0,1591902.0,35550.0,55.0,87.0,2255.0,2400.0,648.0,648.0,1.0,12.0,173.0,2400.0,2400.0,65.0,2359.0,2400.0,681.0,681.0,1.0,12.0,1.0,1.0,238.0,293.0,262.0,1.0,1325.0,6.0
