,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,24824,24824,24824,24736,24824,24824,24824,24824,24824,24824,24824,24824,24824,24824
unique,28,1,1,576,9,9,8,8,80,79,41,41,16,19
top,2014-02-17,WN,WN,N8317M,MDW,"Chicago, IL",IL,Illinois,LAS,"Las Vegas, NV",CA,California,0800-0859,1600-1659
freq,950,24824,24824,77,5367,5367,5367,5367,1231,1231,6518,6518,1826,2045
