,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,184149.0,182582.0,182582.0,182582.0,182582.0,182582.0,182539.0,182539.0,182452.0,182452.0,184149.0,182452.0,182231.0,182231.0,182231.0,182231.0,184149.0,184149.0,184149.0,182231.0,182231.0,184149.0,184149.0,184149.0
mean,230238.04019571107,20001.716772830696,2289.430455772228,12413.797104518624,1241382.5885777278,31128.846700226448,21.442348315766036,61.760905571032154,12834.321674296358,1283434.7173484515,31960.5135189439,26.97382011306062,58.29486991512308,1378.226724011534,1386.523392229245,9.197549594154955,11.503790077882813,0.1960653295505581,0.04560142839929456,16.94573762319285,1409.6659891858726,1544.240386512617,6.440789906386337,1564.6821106821108,1546.9931927301427,5.296036349468531,11.756122723356619,0.20120067386997822,-0.12362331326722677,0.00892212284617348,0.0014933559237356707,142.17439681996643,138.56849822478063,115.18523741844143,1.0,851.4064806216705,3.8726683283645307
std,133326.67504130368,380.67238448716125,1825.5121622464019,1380.8762697582008,138086.89565417264,843.1059132765118,15.895145580082755,24.80363022833422,1546.848242334194,154684.65294573474,1359.4970031837913,16.75057505268588,25.268663332049073,463.47932668286467,474.0904466606166,31.710227118662146,30.725221240489915,0.39701962093452275,1.9105914502358345,8.335661355506389,476.587727091612,505.3748953837069,4.312876418422995,487.32379308888864,511.05563161031,34.234962626097904,30.904224723787,0.40089879603359435,2.0358648599361526,0.09403492217603915,0.038615203084392626,74.88460941988644,73.62511842064167,72.01600017353725,0.0,617.5795406364498,2.4356036285774936
min,3.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,1.0,2.0,1.0,-57.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-62.0,0.0,0.0,-2.0,0.0,0.0,33.0,24.0,9.0,1.0,67.0,1.0
25%,114744.0,19790.0,772.0,11292.0,1129202.0,30397.0,8.0,34.0,11298.0,1129803.0,30792.0,12.0,36.0,1005.0,1007.0,-4.0,0.0,0.0,-1.0,12.0,1024.0,1200.0,4.0,1212.0,1203.0,-11.0,0.0,0.0,-1.0,0.0,0.0,85.0,83.0,61.0,1.0,386.0,2.0
50%,229667.0,19977.0,1677.0,12889.0,1288903.0,30977.0,17.0,74.0,12892.0,1289203.0,31703.0,26.0,63.0,1345.0,1355.0,-1.0,0.0,0.0,-1.0,15.0,1409.0,1557.0,5.0,1605.0,1600.0,-3.0,0.0,0.0,-1.0,0.0,0.0,123.0,120.0,96.0,1.0,680.0,3.0
75%,345206.0,20366.0,3437.0,13930.0,1393003.0,31703.0,34.0,82.0,14107.0,1410702.0,33029.0,42.0,82.0,1746.0,1758.0,9.0,9.0,0.0,0.0,19.0,1813.0,1947.0,7.0,1955.0,1951.0,10.0,10.0,0.0,0.0,0.0,0.0,177.0,173.0,149.0,1.0,1105.0,5.0
max,462051.0,21171.0,6624.0,14771.0,1477101.0,32575.0,48.0,91.0,16218.0,1621801.0,35550.0,78.0,93.0,2359.0,2400.0,2402.0,2402.0,1.0,12.0,147.0,2400.0,2400.0,126.0,2359.0,2400.0,2444.0,2444.0,1.0,12.0,1.0,1.0,668.0,703.0,649.0,1.0,4962.0,11.0
