,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,1406309,1406309,1406309,1396906,1406309,1406309,1406309,1406309,1406309,1406309,1406309,1406309,1406309,1406309
unique,90,14,14,4501,303,299,53,53,303,299,53,53,19,19
top,2014-03-21,WN,WN,N485HA,ATL,"Atlanta, GA",CA,California,ATL,"Atlanta, GA",CA,California,0800-0859,1600-1659
freq,17091,277527,277527,1057,91484,91484,178236,178236,91468,91468,178217,178217,101438,101815
