,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,29003.0,28958.0,28958.0,28958.0,28958.0,28958.0,28945.0,28945.0,28944.0,28944.0,29003.0,28944.0,28878.0,28878.0,28878.0,28878.0,29003.0,29003.0,29003.0,28878.0,28878.0,29003.0,29003.0,29003.0
mean,259753.59355928696,19790.0,1591.1961176430025,11196.233320690963,1119627.5166706892,30799.957866427612,15.631417439575216,43.68206737234079,12625.98320863359,1262601.0507878496,31939.445091887046,26.619625555976967,45.875805951108504,1414.2660414439886,1415.6781545686856,8.239243041646523,10.00566337454244,0.15356723530630567,-0.07027419020650598,18.899119018828813,1440.8527552254275,1544.2299613045882,6.410551409618574,1568.6809295590112,1545.615637092316,1.095158944525244,9.383371424613893,0.14336172865156868,-0.4281459934898539,0.0019997931248491537,0.0023101058511188497,149.25266351756716,142.04633284853523,116.74877069049103,1.0,883.9575216356928,4.012929696927904
std,148803.87309453625,0.0,650.4920839874611,1303.140946004489,130312.92761381896,750.2336401940505,9.512193424814189,21.6508133380758,1575.2593600871776,157525.5103205728,1386.012148923739,15.303399803742524,21.67858686924784,483.96546891901147,497.85641337288877,35.36779384400802,34.79348546650397,0.3605396350212682,1.8374943264758012,9.222537084904197,502.468051220504,509.96770187194227,4.41721002221076,494.27058213315956,516.6565725815644,37.23074103238209,34.114348642273946,0.35044742294044,1.9627059552858974,0.04467507994443408,0.048008840137994294,74.55705266797949,75.00436205450495,72.71846068270894,0.0,631.0069134605654,2.455592431469777
min,2356.0,19790.0,7.0,10397.0,1039705.0,30194.0,4.0,21.0,10140.0,1014003.0,30140.0,1.0,1.0,1.0,1.0,-18.0,0.0,0.0,-2.0,3.0,1.0,1.0,1.0,3.0,1.0,-51.0,0.0,0.0,-2.0,0.0,0.0,44.0,30.0,14.0,1.0,106.0,1.0
25%,132148.0,19790.0,1148.0,10397.0,1039705.0,30397.0,13.0,34.0,11267.0,1126702.0,30792.0,13.0,33.0,1010.0,1008.0,-3.0,0.0,0.0,-1.0,13.0,1029.0,1146.0,4.0,1204.0,1148.0,-14.0,0.0,0.0,-1.0,0.0,0.0,93.0,87.0,64.0,1.0,442.0,2.0
50%,257069.0,19790.0,1648.0,10397.0,1039705.0,30397.0,13.0,34.0,12478.0,1247802.0,31650.0,26.0,38.0,1406.0,1411.0,-1.0,0.0,0.0,-1.0,17.0,1431.0,1602.0,5.0,1615.0,1605.0,-7.0,0.0,0.0,-1.0,0.0,0.0,126.0,118.0,94.0,1.0,689.0,3.0
75%,392120.0,19790.0,2120.0,12266.0,1226603.0,30977.0,13.0,34.0,13931.0,1393102.0,33074.5,39.0,63.0,1820.0,1830.0,5.0,5.0,0.0,0.0,22.0,1847.0,2001.0,7.0,2011.0,2005.0,3.0,3.0,0.0,0.0,0.0,0.0,184.0,178.0,150.0,1.0,1123.0,5.0
max,508703.0,19790.0,2658.0,14771.0,1477101.0,32575.0,48.0,91.0,15919.0,1591902.0,35412.0,78.0,93.0,2359.0,2400.0,1087.0,1087.0,1.0,12.0,153.0,2400.0,2400.0,113.0,2359.0,2400.0,1090.0,1090.0,1.0,12.0,1.0,1.0,576.0,609.0,572.0,1.0,4502.0,11.0
