,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,23721.0,21062.0,21062.0,21062.0,21062.0,21062.0,21037.0,21037.0,20986.0,20986.0,23721.0,20986.0,20928.0,20928.0,20928.0,20928.0,23721.0,23721.0,23721.0,20928.0,20928.0,23721.0,23721.0,23721.0
mean,215729.7340331352,20366.0,4864.082542894482,11840.968930483537,1184100.2218287594,30984.06707137136,28.26183550440538,48.77627418742886,12505.353484254458,1250537.855908267,32002.35753130138,31.904135576071834,52.25673453901606,1409.7069263521773,1439.2881967524452,22.08370525116323,23.8720444402241,0.3603171588643054,0.8982527775140062,17.24984551029139,1466.6228074345202,1550.7363003907367,5.215000476508148,1570.2190464145694,1554.8419898980274,18.51371368501529,23.346425840978593,0.35349770642201833,0.7304090214067278,0.11386535137641753,0.003878419965431474,100.05514101429114,95.72983562691131,73.26610282874617,1.0,483.3295813835842,2.420935036465579
std,124094.27650641782,0.0,840.2390244618125,1197.6355070560955,119762.88117145708,551.2301182507615,15.61093513981143,21.749406077363723,1581.3518891586332,158135.03652327758,1488.5638396354202,15.208760905336913,17.73814889106791,439.16861985740235,447.7220184175407,44.019567276354024,42.95462670489367,0.48010378852447044,2.750113462031063,8.553876134213317,447.75657798281003,479.05087247312866,3.2988537286879995,446.2010189572608,482.7935395307729,45.70774003518619,42.59570242395556,0.47806693951446294,2.8162110136826843,0.3176543513442876,0.062157386514222354,36.427820171445774,37.4712469948201,34.817153797573994,0.0,264.84616054929336,1.1317129427077564
min,1.0,20366.0,2500.0,10397.0,1039705.0,30194.0,8.0,21.0,10135.0,1013503.0,30135.0,1.0,11.0,525.0,4.0,-27.0,0.0,0.0,-2.0,2.0,2.0,1.0,1.0,1.0,1.0,-48.0,0.0,0.0,-2.0,0.0,0.0,38.0,24.0,9.0,1.0,73.0,1.0
25%,110379.0,20366.0,4312.0,10397.0,1039705.0,30397.0,13.0,34.0,11066.0,1106603.0,30747.0,21.0,37.0,1025.0,1043.0,-3.0,0.0,0.0,-1.0,12.0,1059.0,1202.0,3.0,1206.0,1205.25,-9.0,0.0,0.0,-1.0,0.0,0.0,71.0,66.0,46.0,1.0,253.0,2.0
50%,211147.0,20366.0,4934.0,11618.0,1161802.0,30977.0,17.0,41.0,12264.0,1226402.0,31637.0,36.0,52.0,1411.0,1430.0,3.0,3.0,0.0,0.0,15.0,1445.0,1555.0,4.0,1559.0,1558.0,3.0,3.0,0.0,0.0,0.0,0.0,94.0,90.0,68.0,1.0,448.0,2.0
75%,331314.0,20366.0,5490.0,12266.0,1226603.0,31453.0,48.0,74.0,13502.0,1350202.0,33198.0,47.0,72.0,1756.0,1815.0,30.0,30.0,1.0,2.0,20.0,1834.0,1931.0,6.0,1935.0,1935.0,29.0,29.0,1.0,1.0,0.0,0.0,125.0,120.0,96.0,1.0,657.0,3.0
max,421104.0,20366.0,6189.0,13930.0,1393003.0,31703.0,48.0,82.0,15919.0,1591902.0,35550.0,55.0,87.0,2255.0,2359.0,561.0,561.0,1.0,12.0,144.0,2400.0,2400.0,70.0,2359.0,2400.0,568.0,568.0,1.0,12.0,1.0,1.0,273.0,313.0,246.0,1.0,1389.0,6.0
