,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,184149,184149,184149,183917,184149,184149,184149,184149,184149,184149,184149,184149,184149,184149
unique,30,14,14,4228,12,11,9,9,261,257,51,51,19,19
top,2014-11-30,WN,WN,N578SW,ATL,"Chicago, IL",TX,Texas,LAX,"Chicago, IL",CA,California,0900-0959,1600-1659
freq,6892,29303,29303,110,29319,30532,35724,35724,5629,6593,25578,25578,13439,14184
