,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,199585.0,196082.0,196082.0,196082.0,196082.0,196082.0,196018.0,196018.0,195863.0,195863.0,199585.0,195863.0,195565.0,195565.0,195565.0,195565.0,199585.0,199585.0,199585.0,195565.0,195565.0,199585.0,199585.0,199585.0
mean,251793.30358994915,20024.416895057242,2306.976035273192,12384.694055164466,1238472.2937595511,31123.355622917556,21.389047273091666,62.207224991858105,12842.098374126312,1284212.3639952901,31976.866788586318,26.356459653781595,58.82279229401007,1387.8241501114812,1399.473954774023,10.550881773951714,12.641160330881977,0.22615028406483,0.14748421578727267,16.35802324276342,1421.4945209113448,1540.0785140634014,6.161878455859453,1556.2568730114988,1541.6275764182108,6.4093012553371,12.313813821491575,0.22060184593357707,-0.04659320430547388,0.0180725004384097,0.002069293784603051,141.49520755567804,137.8082939176233,115.29374376805666,1.0,848.8529849437583,3.8666733471954307
std,145360.98342196783,380.00365758942297,1848.2257161102136,1378.6721054341278,137866.46722481473,848.8050710388501,15.997469420643935,24.77554668524665,1549.2873990959665,154928.57715836808,1362.9240325589167,16.834674788195784,25.384862149327223,473.27358634520647,484.2324515540131,30.800034856088896,29.797174886715098,0.4183386494252516,1.9248029448414343,7.70706193098791,486.2984605374723,521.8419763022031,4.084890148448216,505.09233694678494,527.7414251063238,32.77463909099752,29.47904722297745,0.41465353089975726,2.0180854819099263,0.13321401608201727,0.04544251483379322,73.88229166596744,73.44517482527723,71.88220736364893,0.0,611.3029971449653,2.409619871708209
min,1.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,1.0,5.0,1.0,-43.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-71.0,0.0,0.0,-2.0,0.0,0.0,35.0,24.0,12.0,1.0,67.0,1.0
25%,125872.0,19790.0,730.0,11292.0,1129202.0,30397.0,8.0,34.0,11298.0,1129803.0,30792.0,12.0,36.0,1000.0,1007.0,-4.0,0.0,0.0,-1.0,12.0,1023.0,1151.0,4.0,1200.0,1154.0,-10.0,0.0,0.0,-1.0,0.0,0.0,85.0,82.0,61.0,1.0,386.0,2.0
50%,252263.0,19977.0,1677.0,12266.0,1226603.0,30977.0,17.0,74.0,12945.0,1294503.0,31703.0,26.0,63.0,1359.0,1408.0,0.0,0.0,0.0,0.0,15.0,1422.0,1601.0,5.0,1608.0,1603.0,-2.0,0.0,0.0,-1.0,0.0,0.0,124.0,120.0,97.0,1.0,685.0,3.0
75%,377469.0,20366.0,3585.0,13930.0,1393003.0,31703.0,34.0,82.0,14107.0,1410702.0,33044.0,41.0,82.0,1800.0,1818.0,12.0,12.0,0.0,0.0,19.0,1831.0,1955.0,7.0,2000.0,1958.0,12.0,12.0,0.0,0.0,0.0,0.0,177.0,173.0,149.0,1.0,1107.0,5.0
max,503331.0,21171.0,8401.0,14771.0,1477101.0,32575.0,48.0,91.0,16218.0,1621801.0,35550.0,78.0,93.0,2359.0,2400.0,1308.0,1308.0,1.0,12.0,155.0,2400.0,2400.0,119.0,2359.0,2400.0,1368.0,1368.0,1.0,12.0,1.0,1.0,670.0,726.0,706.0,1.0,4963.0,11.0
