,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27630.0,27607.0,27607.0,27607.0,27607.0,27607.0,27606.0,27606.0,27602.0,27602.0,27630.0,27602.0,27567.0,27567.0,27567.0,27567.0,27630.0,27630.0,27630.0,27567.0,27567.0,27630.0,27630.0,27630.0
mean,233138.41889250814,19790.0,1569.986536373507,11218.377524429967,1121841.9064060804,30806.78313427434,15.881722765110387,42.92547955121245,12598.231197973217,1259825.8370611654,31934.73583061889,26.335396308360476,45.45551936301122,1399.7457835685848,1400.0939254536893,4.9017640453508164,6.718259861629297,0.11783243380302097,-0.280399898576448,18.44240382525538,1428.3653191335218,1552.786645895225,6.192159988406638,1576.4515381831343,1558.0223534526483,-3.412232016541517,5.947799905684333,0.10690318134000798,-0.6879965175753618,0.0008686210640608035,0.0014115092290988057,149.04668838219328,140.7814778539558,116.15086879239671,1.0,863.5068765834238,3.9337676438653637
std,136234.2016737492,0.0,632.8747706565485,1301.490866571728,130147.91070633213,744.9384283463313,9.609422423444386,21.38244446461066,1575.1275307432547,157512.33449475642,1383.1423101822413,15.188871938770758,21.403837213643605,471.89991776782705,478.66900939517717,25.31678422088023,24.735556127006458,0.32241544125344773,1.4001897024413223,8.240304819192767,481.36756486432023,481.4771975377096,3.6674603875229272,473.6345880468468,485.3955104205882,27.10241833162881,23.273333248312365,0.30899571948683474,1.4973126189940582,0.029460108162478765,0.03754421242539497,74.58501155365894,74.05500024381381,71.97685221283963,0.0,613.7431987724026,2.3987461193363906
min,2514.0,19790.0,7.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,2.0,25.0,1.0,-30.0,0.0,0.0,-2.0,3.0,3.0,1.0,1.0,4.0,1.0,-84.0,0.0,0.0,-2.0,0.0,0.0,48.0,33.0,20.0,1.0,106.0,1.0
25%,119223.5,19790.0,1136.5,10397.0,1039705.0,30397.0,13.0,34.0,11252.0,1125203.0,30792.0,12.0,33.0,1015.0,1020.0,-3.0,0.0,0.0,-1.0,13.0,1036.0,1204.0,4.0,1218.0,1208.0,-15.0,0.0,0.0,-1.0,0.0,0.0,93.0,87.0,65.0,1.0,442.0,2.0
50%,219806.0,19790.0,1610.0,10397.0,1039705.0,30397.0,13.0,34.0,12478.0,1247802.0,31650.0,26.0,37.0,1400.0,1403.0,-1.0,0.0,0.0,-1.0,16.0,1420.0,1559.0,5.0,1610.0,1602.0,-8.0,0.0,0.0,-1.0,0.0,0.0,124.0,117.0,92.0,1.0,669.0,3.0
75%,349857.25,19790.0,2064.0,12889.0,1288903.0,30977.0,13.0,34.0,13930.0,1393003.0,33105.0,37.0,63.0,1759.0,1800.0,3.0,3.0,0.0,0.0,21.0,1818.0,1950.0,7.0,2001.0,1954.0,1.0,1.0,0.0,0.0,0.0,0.0,191.0,179.0,148.0,1.0,1076.0,5.0
max,476491.0,19790.0,2694.0,14771.0,1477101.0,32575.0,48.0,91.0,15919.0,1591902.0,35412.0,78.0,93.0,2359.0,2400.0,701.0,701.0,1.0,12.0,129.0,2400.0,2400.0,79.0,2359.0,2400.0,658.0,658.0,1.0,12.0,1.0,1.0,615.0,629.0,605.0,1.0,4502.0,11.0
