,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,503758,503758,503758,502401,503758,503758,503758,503758,503758,503758,503758,503758,503758,503758
unique,31,14,14,4356,302,298,53,53,303,299,53,53,19,19
top,2014-03-21,WN,WN,N480HA,ATL,"Atlanta, GA",CA,California,ATL,"Atlanta, GA",CA,California,0600-0659,1600-1659
freq,17091,101382,101382,403,32694,32694,62739,62739,32702,32702,62742,62742,35915,35059
