,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,483499.0,478192.0,478192.0,478192.0,478192.0,478192.0,478012.0,478012.0,477792.0,477792.0,483499.0,477792.0,476881.0,476881.0,476881.0,476881.0,483499.0,483499.0,483499.0,476881.0,476881.0,483499.0,483499.0,483499.0
mean,241749.0,19993.292559033212,2260.980543910122,12678.430745461728,1267845.7190356134,31730.00355119659,26.132368422685467,55.87330687343717,12678.22699736711,1267825.3442964721,31729.898396894307,26.133402550987697,55.87336064810889,1327.2672104802698,1334.3571306086258,8.361737544751898,11.241798273496839,0.18731388228995885,-0.015002342155452203,15.138191091437035,1357.1805937926244,1480.3917520594737,6.7736651095037175,1499.3491320561159,1486.3758685787957,4.728577989058067,11.477930552905232,0.19251343626607056,-0.17190871517212888,0.011503643234008758,0.0021840789743101845,136.24883815685246,132.95364252297742,111.04921353545224,1.0,792.1985567705414,3.647283655188532
std,139574.2832389232,398.38394302065706,1846.039299179233,1525.6243340717056,152562.1339487165,1298.0630857316835,16.777520255325605,26.48611282005537,1525.665391025607,152566.23955176887,1298.0126262190563,16.777051130086956,26.485701938028367,470.3042286985521,483.00952389554027,33.469366269992044,32.30839922759492,0.3901636965832226,1.9282876501960122,8.152452902908745,483.6776434061386,506.0269048864765,4.624542197000999,490.40900211999156,509.0594157705138,35.507045105139866,32.25050537984337,0.3942744464208201,2.043163097034446,0.10663645223493895,0.0466831155847813,73.85048136172139,73.476953041628,71.54639383229703,0.0,594.9231039327747,2.3478589268911483
min,0.0,19393.0,1.0,10135.0,1013503.0,30070.0,1.0,1.0,10135.0,1013503.0,30070.0,1.0,1.0,5.0,1.0,-55.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-88.0,0.0,0.0,-2.0,0.0,0.0,21.0,16.0,8.0,1.0,31.0,1.0
25%,120874.5,19790.0,691.0,11292.0,1129202.0,30647.0,12.0,34.0,11292.0,1129202.0,30647.0,12.0,34.0,925.0,926.0,-5.0,0.0,0.0,-1.0,10.0,939.0,1103.0,4.0,1115.0,1108.0,-12.0,0.0,0.0,-1.0,0.0,0.0,83.0,80.0,59.0,1.0,359.0,2.0
50%,241749.0,19977.0,1711.0,12889.0,1288903.0,31453.0,25.0,52.0,12889.0,1288903.0,31453.0,25.0,52.0,1320.0,1327.0,-2.0,0.0,0.0,-1.0,13.0,1340.0,1513.0,6.0,1522.0,1517.0,-4.0,0.0,0.0,-1.0,0.0,0.0,116.0,114.0,91.0,1.0,624.0,3.0
75%,362623.5,20366.0,3515.0,14027.0,1402702.0,32467.0,42.0,82.0,14027.0,1402702.0,32467.0,42.0,82.0,1725.0,1733.0,8.0,8.0,0.0,0.0,18.0,1747.0,1909.0,8.0,1914.0,1914.0,9.0,9.0,0.0,0.0,0.0,0.0,167.0,164.0,141.0,1.0,1024.0,5.0
max,483498.0,21171.0,8406.0,16218.0,1621801.0,35991.0,78.0,93.0,16218.0,1621801.0,35991.0,78.0,93.0,2359.0,2400.0,1696.0,1696.0,1.0,12.0,172.0,2400.0,2400.0,155.0,2359.0,2400.0,1793.0,1793.0,1.0,12.0,1.0,1.0,660.0,696.0,664.0,1.0,4983.0,11.0
