,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,483902,483902,483902,483480,483902,483902,483902,483902,483902,483902,483902,483902,483902,483902
unique,181,3,3,1773,12,11,9,9,203,199,51,51,19,19
top,2014-06-20,WN,WN,N876AS,ATL,"Atlanta, GA",GA,Georgia,ATL,"Atlanta, GA",CA,California,0800-0859,1600-1659
freq,2962,172584,172584,676,157757,157757,157757,157757,21881,21881,48862,48862,38359,39739
