,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,198871.0,196560.0,196560.0,196560.0,196560.0,196560.0,196471.0,196471.0,196407.0,196407.0,198871.0,196407.0,196149.0,196149.0,196149.0,196149.0,198871.0,198871.0,198868.0,196149.0,196149.0,198871.0,198871.0,198871.0
mean,245462.68763168083,20003.828074480443,2274.4942349563285,12420.326885267334,1242035.56774492,31121.15967134474,21.255487225387313,62.02119464376405,12833.259318854936,1283328.479728065,31954.37798371809,27.014954417687846,58.50111378732947,1371.846005702189,1379.9317867317868,9.707102157102158,12.010673585673585,0.20379527879527878,0.07888176638176639,17.308987076973192,1404.6620366364502,1542.3684644640975,6.382695117791117,1564.0439380301805,1545.999322834726,6.660375530846449,12.576062075259115,0.21413313348525864,-0.03853703052271488,0.01221394773496387,0.001473316873752332,141.54301848462296,138.99137390453177,115.3051353817761,1.0,853.7187624138261,3.8831001000648664
std,141787.80053130095,380.88448622560963,1834.9153116974985,1385.9398291100174,138593.2539066624,843.4261881165971,15.833169424761087,24.624297959640383,1549.9882837462617,154998.659821449,1358.3418559782035,16.699845417142665,25.282741418639922,461.564430652109,473.51564424658966,32.062546926406355,31.05155770464365,0.4028195485000231,1.947112763784302,8.320682203780214,475.42868105451555,503.7885006562391,4.232982941013002,483.359775478109,508.8079059255876,34.677950510809175,31.55725951186228,0.4102206632456884,2.0802340518761873,0.10984001038894002,0.0383556203008817,74.53417197366517,74.070738225674,72.45272907003762,0.0,619.6141726076113,2.444535655078919
min,0.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,1.0,5.0,1.0,-37.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-71.0,0.0,0.0,-2.0,0.0,0.0,35.0,23.0,9.0,1.0,67.0,1.0
25%,122189.5,19790.0,740.0,11292.0,1129202.0,30397.0,8.0,41.0,11298.0,1129803.0,30792.0,12.0,36.0,1000.0,1000.0,-4.0,0.0,0.0,-1.0,12.0,1018.0,1155.0,4.0,1208.0,1159.0,-10.0,0.0,0.0,-1.0,0.0,0.0,85.0,83.0,61.0,1.0,391.0,2.0
50%,244288.0,19977.0,1659.0,12889.0,1288903.0,30977.0,17.0,74.0,12892.0,1289203.0,31703.0,26.0,63.0,1345.0,1350.0,-1.0,0.0,0.0,-1.0,15.0,1406.0,1558.0,5.0,1605.0,1601.0,-2.0,0.0,0.0,-1.0,0.0,0.0,122.0,121.0,97.0,1.0,680.0,3.0
75%,368433.5,20366.0,3449.0,13930.0,1393003.0,31703.0,34.0,82.0,14107.0,1410702.0,33029.0,42.0,82.0,1740.0,1754.0,10.0,10.0,0.0,0.0,20.0,1810.0,1943.0,7.0,1947.0,1947.0,11.0,11.0,0.0,0.0,0.0,0.0,175.0,173.0,148.0,1.0,1107.0,5.0
max,491010.0,21171.0,6620.0,14771.0,1477101.0,32575.0,48.0,91.0,16218.0,1621801.0,35550.0,78.0,93.0,2359.0,2400.0,1529.0,1529.0,1.0,12.0,160.0,2400.0,2400.0,179.0,2359.0,2400.0,1524.0,1524.0,1.0,12.0,1.0,1.0,668.0,699.0,662.0,1.0,4962.0,11.0
