,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,498808.0,493505.0,493505.0,493505.0,493505.0,493505.0,493359.0,493359.0,493222.0,493222.0,498808.0,493222.0,492339.0,492339.0,492339.0,492339.0,498808.0,498808.0,498808.0,492339.0,492339.0,498808.0,498808.0,498808.0
mean,244219.10609693508,19806.68227654729,2637.812264438421,12014.165827332361,1201419.85359898,31039.58694527754,19.485321005276578,54.66122435887155,12756.88231343523,1275690.8302212474,31978.802418966818,27.390104007954964,55.9147587849433,1387.7995521322835,1399.7333522456713,11.281123798137811,13.097753822149725,0.22235033079705374,0.17693843020840722,16.59152665705906,1425.3205657543492,1539.2816743778665,5.857050172133441,1563.953659524306,1540.9183937456155,6.515624397011003,12.778516428720861,0.21560956982891868,-0.048143657114305384,0.010990200638321759,0.001978717261952495,128.56569662074386,124.06735399795669,101.626659679611,1.0,739.7603065708649,3.4548303154720856
std,141299.98137988735,391.4272183096029,1763.597319150895,1378.9637344381138,137895.35658109785,769.7917391321082,13.46857272655542,24.84119420065032,1585.7476938218585,158574.53381560388,1378.34038551037,16.150688754038217,23.324432744201538,455.07014209781136,469.1254033910621,33.00461718304014,32.18053543408293,0.4158256985383243,2.024270839782064,8.875209610108847,470.9204154968292,507.1981257265538,3.838192681469136,482.99601028785025,512.9651361597789,35.31352867399944,32.05483957019133,0.41124497168272467,2.138257052971155,0.10425659652517019,0.04443878822635896,63.03081680535531,62.394744480363485,60.637804614813035,0.0,519.0111242538718,2.069085620458811
min,3.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,1.0,1.0,1.0,-32.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-84.0,0.0,0.0,-2.0,0.0,0.0,35.0,27.0,9.0,1.0,73.0,1.0
25%,122548.0,19393.0,1170.0,10397.0,1039705.0,30397.0,13.0,34.0,11278.0,1127802.0,30781.0,12.0,36.0,1010.0,1013.0,-3.0,0.0,0.0,-1.0,11.0,1031.0,1153.0,4.0,1209.0,1156.0,-11.0,0.0,0.0,-1.0,0.0,0.0,81.0,78.0,58.0,1.0,369.0,2.0
50%,243694.5,19790.0,2188.0,12266.0,1226603.0,30977.0,13.0,41.0,12892.0,1289203.0,31650.0,27.0,53.0,1355.0,1403.0,0.0,0.0,0.0,0.0,15.0,1421.0,1555.0,5.0,1605.0,1557.0,-3.0,0.0,0.0,-1.0,0.0,0.0,115.0,109.0,86.0,1.0,599.0,3.0
75%,366400.0,20366.0,4320.0,12953.0,1295302.0,31703.0,32.0,82.0,14107.0,1410702.0,33105.0,42.0,74.0,1750.0,1805.0,12.0,12.0,0.0,0.0,19.0,1822.0,1945.0,7.0,1950.0,1947.0,11.0,11.0,0.0,0.0,0.0,0.0,155.0,149.0,124.0,1.0,907.0,4.0
max,517522.0,20366.0,6189.0,14771.0,1477101.0,32575.0,48.0,91.0,15919.0,1591902.0,35550.0,78.0,93.0,2359.0,2400.0,1087.0,1087.0,1.0,12.0,162.0,2400.0,2400.0,130.0,2359.0,2400.0,1090.0,1090.0,1.0,12.0,1.0,1.0,615.0,635.0,605.0,1.0,4502.0,11.0
