,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,21473,21473,21473,21473,21473,21473,21473,21473,21473,21473,21473,21473,21473,21473
unique,30,1,1,381,8,7,6,6,160,159,40,40,19,18
top,2014-11-30,EV,EV,N906EV,IAH,"Houston, TX",TX,Texas,BTR,"Baton Rouge, LA",TX,Texas,1900-1959,1600-1659
freq,839,21473,21473,109,6558,6558,7963,7963,508,508,2686,2686,1967,2103
