,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,152422,152422,152422,152382,152422,152422,152422,152422,152422,152422,152422,152422,152422,152422
unique,181,1,1,417,9,8,7,7,170,167,41,41,19,19
top,2014-01-03,EV,EV,N876AS,IAH,"Houston, TX",TX,Texas,BNA,"Nashville, TN",TX,Texas,1000-1059,1600-1659
freq,958,152422,152422,676,41693,41693,50065,50065,3439,3439,19754,19754,12691,13491
