,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,24824.0,23916.0,23916.0,23916.0,23916.0,23916.0,23912.0,23912.0,23905.0,23905.0,24824.0,23905.0,23864.0,23864.0,23864.0,23864.0,24824.0,24824.0,24824.0,23864.0,23864.0,24824.0,24824.0,24824.0
mean,215923.36484853367,19393.0,1702.7692555591364,12847.529809861424,1284755.402352562,31283.059700290043,15.383378988076055,70.31763615855624,13143.79121011924,1314381.6098936512,32014.775378665807,23.29781662906864,68.96519497260715,1368.732476635514,1393.7682304733232,17.709315939120255,18.624519150359593,0.3575848804147851,0.652993811674193,12.352459016393443,1413.6538976246236,1577.7988286969253,5.610458063166702,1597.2286899774413,1579.120644216691,11.264037881327523,15.922686892390212,0.29311934294334563,0.26617499161917535,0.036778923622301,0.0018933290364163712,131.83250080567194,125.0225025142474,107.06658565202817,1.0,784.8081695133742,3.649210441508218
std,124706.16945846388,0.0,1398.9013944810922,1080.493806762522,108048.99575143568,866.2981392109226,10.912883198602943,22.217545372021867,1531.0631452112689,153106.26301316082,1267.7017441425824,16.742174787526157,23.34704942672897,442.4164059013475,462.2609054781679,33.624132366742295,33.065019469556994,0.4792990082545813,2.0978887433097535,6.3820663910230495,461.2979886922245,502.59285448044113,3.6053226115068346,472.4608632698731,509.0152994290034,35.07670684971407,32.13355972396204,0.45520223708865815,2.183522008886486,0.18822237261576302,0.04347206540229383,59.71551267559552,59.03515847122563,57.555398191785116,0.0,492.5257050926145,1.9837323800376088
min,2456.0,19393.0,1.0,10397.0,1039705.0,30325.0,4.0,21.0,10140.0,1014002.0,30140.0,1.0,3.0,600.0,1.0,-11.0,0.0,0.0,-1.0,2.0,1.0,1.0,1.0,5.0,1.0,-46.0,0.0,0.0,-2.0,0.0,0.0,50.0,42.0,31.0,1.0,197.0,1.0
25%,113821.75,19393.0,535.0,12889.0,1288903.0,30466.0,6.0,41.0,11884.0,1188402.0,30852.0,6.0,45.0,1010.0,1018.0,-1.0,0.0,0.0,-1.0,8.0,1033.0,1230.0,4.0,1240.0,1231.0,-8.0,0.0,0.0,-1.0,0.0,0.0,85.0,77.0,61.0,1.0,370.0,2.0
50%,214187.5,19393.0,1257.0,12892.0,1289203.0,30977.0,13.0,82.0,13232.0,1323202.0,32211.0,21.0,81.0,1340.0,1402.0,7.0,7.0,0.0,0.0,11.0,1413.0,1612.0,5.0,1615.0,1615.0,2.0,2.0,0.0,0.0,0.0,0.0,115.0,109.0,91.0,1.0,646.0,3.0
75%,327687.25,19393.0,2769.0,13232.0,1323202.0,32211.0,32.0,85.0,14679.0,1467903.0,33158.0,36.0,91.0,1745.0,1810.0,23.0,23.0,1.0,1.0,14.0,1820.25,2011.0,6.0,2005.0,2014.0,19.0,19.0,1.0,1.0,0.0,0.0,165.0,159.0,139.0,1.0,1024.0,5.0
max,427889.0,19393.0,4999.0,14771.0,1477101.0,32575.0,36.0,91.0,15376.0,1537602.0,34819.0,72.0,93.0,2155.0,2400.0,570.0,570.0,1.0,12.0,122.0,2400.0,2400.0,84.0,2355.0,2400.0,569.0,569.0,1.0,12.0,1.0,1.0,340.0,371.0,343.0,1.0,2329.0,10.0
