,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,172584,172584,172584,172202,172584,172584,172584,172584,172584,172584,172584,172584,172584,172584
unique,181,1,1,596,9,9,8,8,81,80,42,42,18,19
top,2014-06-24,WN,WN,N8619F,MDW,"Chicago, IL",IL,Illinois,LAS,"Las Vegas, NV",CA,California,0800-0859,1600-1659
freq,1075,172584,172584,405,38730,38730,38730,38730,8304,8304,43744,43744,13724,13201
