,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,27287,27287,27287,27287,27287,27287,27287,27287,27287,27287,27287,27287,27287,27287
unique,30,1,1,670,12,11,9,9,116,112,44,44,19,19
top,2014-04-25,DL,DL,N989AT,ATL,"Atlanta, GA",GA,Georgia,ATL,"Atlanta, GA",FL,Florida,0800-0859,1600-1659
freq,954,27287,27287,117,18711,18711,18711,18711,2972,2972,4866,4866,2105,2240
