,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,207643.0,204471.0,204471.0,204471.0,204471.0,204471.0,204304.0,204304.0,204214.0,204214.0,207643.0,204214.0,203688.0,203688.0,203688.0,203688.0,207643.0,207643.0,207643.0,203688.0,203688.0,207643.0,207643.0,207643.0
mean,260400.87299355143,20016.34192821333,2380.542570662146,12418.000934295882,1241802.9545566188,31133.68674600155,21.24474699363812,62.398843206850216,12838.978275212745,1283900.3802295285,31970.34516453721,27.029622958635734,58.70620247251292,1385.6385960518776,1392.538809904583,13.332228042118443,15.277286265533988,0.24688097578629734,0.31199045341393156,17.389458845641787,1413.716471532618,1504.0022819199467,6.479658593436297,1535.814185886353,1504.4780426415427,9.678827422332194,15.24810003534818,0.24842896979694434,0.14895330112721417,0.016239410911997997,0.0028077036066710653,144.55055552077363,141.26958387337496,117.41647519736067,1.0,875.3342997356038,3.9677138165023624
std,150381.4739129709,382.93864027754097,1832.9944376361648,1373.3114560485049,137330.4322801718,849.9034777984726,15.917331409423388,24.720353877555056,1550.8410517542693,155083.93294006272,1362.0545717168445,16.808889255469502,25.640900794195446,479.90918836961794,497.16307001564377,37.172200854185746,36.264260636342314,0.43119794632048747,2.20235226954534,9.162625908872517,501.2001429832081,549.8577212073211,4.696786690086542,523.0218130940841,556.0902190804579,38.96319889967029,35.94462737315488,0.4321029199440782,2.299432698734545,0.12639529019627246,0.052913456615509245,76.93780419077059,76.47666242407512,74.37215474997103,0.0,636.6772197593858,2.5064538049197975
min,1.0,19393.0,1.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,1.0,1.0,1.0,-26.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-70.0,0.0,0.0,-2.0,0.0,0.0,35.0,26.0,12.0,1.0,67.0,1.0
25%,130101.5,19790.0,811.0,11292.0,1129202.0,30397.0,8.0,41.0,11298.0,1129803.0,30792.0,12.0,36.0,959.0,958.0,-4.0,0.0,0.0,-1.0,12.0,1013.75,1126.0,4.0,1145.0,1128.0,-10.0,0.0,0.0,-1.0,0.0,0.0,85.0,83.0,61.0,1.0,395.0,2.0
50%,260135.0,19977.0,1826.0,12889.0,1288903.0,30977.0,17.0,74.0,12892.0,1289203.0,31703.0,27.0,63.0,1355.0,1400.0,0.0,0.0,0.0,0.0,15.0,1415.0,1540.0,5.0,1558.0,1542.0,-1.0,0.0,0.0,-1.0,0.0,0.0,125.0,122.0,98.0,1.0,695.0,3.0
75%,389416.5,20366.0,3852.0,13930.0,1393003.0,31703.0,34.0,82.0,14107.0,1410702.0,33044.0,42.0,82.0,1805.0,1820.0,14.0,14.0,0.0,0.0,20.0,1834.0,1942.0,7.0,1950.0,1944.0,14.0,14.0,0.0,0.0,0.0,0.0,180.0,179.0,153.0,1.0,1188.0,5.0
max,520877.0,21171.0,6538.0,14771.0,1477101.0,32575.0,48.0,91.0,16218.0,1621801.0,35550.0,78.0,93.0,2359.0,2400.0,1087.0,1087.0,1.0,12.0,171.0,2400.0,2400.0,125.0,2359.0,2400.0,1093.0,1093.0,1.0,12.0,1.0,1.0,642.0,687.0,629.0,1.0,4962.0,11.0
