,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,25833.0,24594.0,24594.0,24594.0,24594.0,24594.0,24558.0,24558.0,24534.0,24534.0,25833.0,24534.0,24433.0,24433.0,24433.0,24433.0,25833.0,25833.0,25833.0,24433.0,24433.0,25833.0,25833.0,25833.0
mean,250930.55971044788,20366.0,4829.685441102466,11978.349591607634,1197838.1745054775,31019.968993148297,28.88994696705764,49.39697286416599,12486.188789532767,1248621.4399411606,32056.57004606511,32.31405566523439,52.61506600085163,1394.763248558046,1410.9695860779052,20.734935350085387,22.673944864601122,0.32715296413759454,0.7838497194437668,19.101514781333986,1439.9519912044955,1523.4674737099535,5.33329257357137,1556.8002941973446,1527.8143800440205,18.578766422461424,23.474604019154423,0.34121884336757663,0.7187001186919331,0.04966515696976735,0.00452909069794449,100.8052878101653,98.88597388777472,74.45610444890107,1.0,499.29350056129755,2.490845043161847
std,144889.6000505612,0.0,864.0513565431995,1201.3196488545536,120131.38860451394,542.8576283158802,15.51668464243426,21.92152524211565,1571.5864365481978,157158.47610878965,1480.6975491625487,15.161192670003583,17.74345348408804,438.2862302248337,459.56660909185035,45.33937369573886,44.275989982135464,0.46918317623992095,2.773295882664076,10.933118639252024,461.79881757860005,492.8577958966204,3.8938115646023284,447.78427886931894,495.995565559996,47.91420183746988,44.8902679104261,0.474128405474103,2.8813131897230715,0.2172564297945531,0.0671472454386764,35.169248902310066,36.660880387071956,33.33459221510852,0.0,262.76594431969664,1.1262459954648005
min,8234.0,20366.0,2500.0,10397.0,1039705.0,30194.0,8.0,21.0,10135.0,1013503.0,30135.0,1.0,11.0,540.0,1.0,-48.0,0.0,0.0,-2.0,3.0,1.0,1.0,1.0,3.0,1.0,-57.0,0.0,0.0,-2.0,0.0,0.0,35.0,26.0,13.0,1.0,73.0,1.0
25%,120693.0,20366.0,4289.0,11292.0,1129202.0,30397.0,13.0,34.0,11066.0,1106603.0,30785.0,21.0,38.0,1013.0,1018.0,-4.0,0.0,0.0,-1.0,13.0,1036.0,1138.0,3.0,1159.0,1141.25,-9.0,0.0,0.0,-1.0,0.0,0.0,73.0,70.0,48.0,1.0,284.0,2.0
50%,254057.0,20366.0,4700.0,12266.0,1226603.0,30977.0,34.0,41.0,12264.0,1226402.0,31650.0,36.0,52.0,1400.0,1409.0,1.0,1.0,0.0,0.0,16.0,1428.0,1533.0,4.0,1557.0,1536.0,2.0,2.0,0.0,0.0,0.0,0.0,96.0,95.0,71.0,1.0,468.0,2.0
75%,378632.0,20366.0,5524.0,12266.0,1226603.0,31453.0,48.0,74.0,13487.0,1348702.0,33198.0,47.0,72.0,1740.0,1808.0,26.0,26.0,1.0,1.0,22.0,1829.0,1922.0,6.0,1925.0,1925.0,27.0,27.0,1.0,1.0,0.0,0.0,126.0,123.0,97.0,1.0,685.0,3.0
max,493899.0,20366.0,6189.0,13930.0,1393003.0,31703.0,48.0,82.0,15919.0,1591902.0,35550.0,55.0,87.0,2255.0,2359.0,554.0,554.0,1.0,12.0,164.0,2400.0,2400.0,82.0,2359.0,2400.0,563.0,563.0,1.0,12.0,1.0,1.0,232.0,338.0,232.0,1.0,1345.0,6.0
