,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,23306.0,22531.0,22531.0,22531.0,22531.0,22531.0,22515.0,22515.0,22504.0,22504.0,23306.0,22504.0,22453.0,22453.0,22453.0,22453.0,23306.0,23306.0,23306.0,22453.0,22453.0,23306.0,23306.0,23306.0
mean,233076.85261306103,20366.0,4795.436969020853,12026.950484853685,1202698.2580451386,31021.85226980177,28.770702823307303,49.25444091650219,12495.702394233245,1249572.8085900627,32051.629537458164,32.382304985840555,52.636660087531105,1400.1971595297348,1414.9928986729394,11.484266122231592,14.365585193733079,0.22617726687674758,0.18574408592605743,18.57255163224517,1445.7842771485675,1549.6890774973338,5.417614646285105,1560.9075774478674,1553.6705030216851,9.923929987084131,15.577116643655636,0.24682670467198148,0.1793524250656928,0.03402557281386767,0.0025744443490946537,99.55277610915644,98.28352558678128,74.29060704582906,1.0,497.6322406247318,2.4807774821934268
std,135768.10151667314,0.0,856.3368202945678,1219.3033585759713,121929.7624228313,537.4480080078214,15.460720639135038,21.735494404988817,1570.0610363947615,157005.96780154947,1475.2413160091105,15.13677846600583,17.228897103816816,433.61074312374757,446.7208901541575,35.97534983134735,34.65946035931942,0.4183645290690663,2.2755738120321745,9.780613457956727,448.5497726206015,467.3607673932698,3.580582173943028,444.2363604144319,471.3841300673627,38.51437666262318,35.396469003681695,0.43117463117040394,2.386014948414606,0.181298768728685,0.050674715277564904,35.46183094534679,36.71653825174189,33.76790970523301,0.0,266.30637552270844,1.1393733209787176
min,3.0,20366.0,2501.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,11.0,530.0,10.0,-22.0,0.0,0.0,-2.0,2.0,1.0,1.0,1.0,1.0,1.0,-59.0,0.0,0.0,-2.0,0.0,0.0,39.0,27.0,10.0,1.0,73.0,1.0
25%,117412.75,20366.0,4276.0,11292.0,1129202.0,30397.0,13.0,34.0,11066.0,1106603.0,30781.0,21.0,38.0,1025.0,1025.0,-5.0,0.0,0.0,-1.0,12.0,1043.0,1153.0,3.0,1200.0,1156.0,-10.0,0.0,0.0,-1.0,0.0,0.0,71.0,69.0,47.0,1.0,277.0,2.0
50%,238482.0,20366.0,4691.0,12266.0,1226603.0,30977.0,34.0,41.0,12264.0,1226402.0,31650.0,36.0,52.0,1410.0,1420.0,-2.0,0.0,0.0,-1.0,16.0,1436.0,1553.0,5.0,1558.0,1557.0,-2.0,0.0,0.0,-1.0,0.0,0.0,95.0,94.0,70.0,1.0,466.0,2.0
75%,346689.25,20366.0,5444.0,12953.0,1295302.0,31453.0,48.0,74.0,13487.0,1348702.0,33198.0,47.0,72.0,1741.0,1807.0,11.0,11.0,0.0,0.0,21.0,1827.0,1930.0,6.0,1925.0,1933.0,14.0,14.0,0.0,0.0,0.0,0.0,124.0,123.0,98.0,1.0,674.0,3.0
max,464152.0,20366.0,6189.0,14107.0,1410702.0,31703.0,48.0,82.0,15919.0,1591902.0,35550.0,55.0,87.0,2310.0,2355.0,619.0,619.0,1.0,12.0,121.0,2400.0,2400.0,86.0,2358.0,2400.0,627.0,627.0,1.0,12.0,1.0,1.0,218.0,310.0,220.0,1.0,1345.0,6.0
