,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29628.0,29369.0,29369.0,29369.0,29369.0,29369.0,29367.0,29367.0,29364.0,29364.0,29628.0,29364.0,29335.0,29335.0,29335.0,29335.0,29628.0,29628.0,29628.0,29335.0,29335.0,29628.0,29628.0,29628.0
mean,254310.69036046983,19393.0,1697.2143917915485,12860.981942756851,1286100.6089172405,31276.765762116916,15.388213851761847,70.16447279600378,13136.00398271905,1313602.880619684,32003.03486566761,23.47360604833266,68.2766977183745,1373.5559268259753,1398.1447444584426,15.904457080595185,16.831318737444246,0.35081208076543297,0.5524192175423065,12.15956686076208,1418.3986447372902,1529.9550129410163,5.443195749897834,1543.3584784663155,1525.500374608364,10.283245270155104,14.457508096130901,0.29582410090335776,0.2141128344980399,0.008842986364250034,0.0010463075469150803,133.12643445389497,127.69193795807057,110.0925856485427,1.0,813.4856892129067,3.762893209126502
std,145215.6645598963,0.0,1380.1845760653396,1074.9929816514568,107498.91428699755,861.7157365071769,10.863841187149957,22.16359814342914,1540.2393451033045,154023.88653548263,1276.208946166882,16.6888197007766,23.574881921655045,466.4739859379119,484.92933767071065,28.30657257166332,27.690816864707013,0.47723235384276297,1.8779639300842108,5.91487743198682,483.0446507101101,566.0860289865329,3.3898177488615264,544.7733406618349,574.5079175919252,29.756105884773795,26.86604116707073,0.45642009554680585,1.9469349184518567,0.09362202622384105,0.03233029641830182,60.42539659979529,59.64531624552077,58.29280123873754,0.0,503.70736245831046,2.0255842002456963
min,7208.0,19393.0,1.0,10397.0,1039705.0,30325.0,4.0,21.0,10140.0,1014002.0,30140.0,1.0,3.0,515.0,1.0,-22.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,5.0,1.0,-57.0,0.0,0.0,-2.0,0.0,0.0,50.0,43.0,30.0,1.0,197.0,1.0
25%,135562.75,19393.0,475.0,12889.0,1288903.0,30466.0,6.0,41.0,11697.0,1169703.0,30852.0,6.0,44.0,950.0,958.0,-1.0,0.0,0.0,-1.0,9.0,1013.0,1143.0,4.0,1155.0,1141.0,-7.0,0.0,0.0,-1.0,0.0,0.0,85.0,78.0,62.0,1.0,373.0,2.0
50%,247381.5,19393.0,1216.0,12892.0,1289203.0,30977.0,13.0,82.0,13232.0,1323202.0,32211.0,22.0,74.0,1345.0,1407.0,6.0,6.0,0.0,0.0,11.0,1419.0,1601.5,5.0,1605.0,1603.0,3.0,3.0,0.0,0.0,0.0,0.0,120.0,113.0,95.0,1.0,668.0,3.0
75%,379521.25,19393.0,2861.0,13232.0,1323202.0,32211.0,32.0,85.0,14679.0,1467903.0,33192.0,37.0,91.0,1800.0,1828.0,22.0,22.0,1.0,1.0,14.0,1839.0,2010.0,6.0,2005.0,2010.0,18.0,18.0,1.0,1.0,0.0,0.0,165.0,162.0,143.0,1.0,1099.0,5.0
max,503331.0,19393.0,4999.0,14771.0,1477101.0,32575.0,36.0,91.0,15376.0,1537602.0,34819.0,72.0,93.0,2220.0,2357.0,352.0,352.0,1.0,12.0,109.0,2358.0,2400.0,115.0,2355.0,2400.0,356.0,356.0,1.0,12.0,1.0,1.0,340.0,366.0,344.0,1.0,2329.0,10.0
