,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,152422.0,141260.0,141260.0,141260.0,141260.0,141260.0,141079.0,141079.0,140863.0,140863.0,152422.0,140863.0,140459.0,140459.0,140459.0,140459.0,152422.0,152422.0,152422.0,140459.0,140459.0,152422.0,152422.0,152422.0
mean,240947.47719489312,20366.0,4858.896038629594,11893.252607891249,1189328.5514689481,30992.635728438152,28.52049572896301,49.25103987613337,12497.287222316989,1249731.2306884832,32010.64929603338,32.16767920641377,52.643594756662424,1403.069583131044,1421.3085940818348,18.407992354523575,20.535523148803623,0.30511822171881636,0.6437774316862523,17.919335974879324,1449.3227128063,1535.939778366214,5.205057396193465,1563.1872761149966,1540.4545196396498,14.911134209982984,20.500345296492213,0.30450166952633867,0.49291252251546713,0.07485139940428547,0.003634645917256039,100.4148941753815,96.66716977908143,73.55275916815583,1.0,490.0995788009605,2.4506632900762355
std,140088.22010588125,0.0,852.812709838867,1201.674194106328,120166.77890671001,548.201158388065,15.633473441222979,21.804738617727228,1580.8607685472368,158085.92541512861,1482.3935852106977,15.164236361663901,17.55710019956739,437.18107719495214,450.00257297927186,42.37650720519853,41.233265641120404,0.4604591115756232,2.6453604722457036,9.70291416815992,451.135334811529,479.44713252091833,3.459813691536308,446.65080736856805,482.5720649853133,44.66136320490232,41.34940288432256,0.46019768639869985,2.744705803462637,0.2631522786077698,0.06017855951859501,35.89197288868968,36.91180830716044,33.91872428568906,0.0,263.61929591945466,1.1295880273278804
min,1.0,20366.0,2500.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,11.0,525.0,1.0,-48.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-58.0,0.0,0.0,-2.0,0.0,0.0,35.0,24.0,9.0,1.0,67.0,1.0
25%,118686.25,20366.0,4312.0,10397.0,1039705.0,30397.0,13.0,34.0,11066.0,1106603.0,30781.0,21.0,38.0,1020.0,1029.0,-4.0,0.0,0.0,-1.0,12.0,1047.0,1151.0,3.0,1204.0,1154.0,-10.0,0.0,0.0,-1.0,0.0,0.0,73.0,67.0,46.0,1.0,266.0,2.0
50%,239556.0,20366.0,4915.0,11618.0,1161802.0,30977.0,17.0,41.0,12264.0,1226402.0,31641.0,36.0,52.0,1406.0,1418.0,0.0,0.0,0.0,0.0,15.0,1433.0,1542.0,4.0,1557.0,1545.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,92.0,69.0,1.0,457.0,2.0
75%,360424.5,20366.0,5509.0,12266.0,1226603.0,31453.0,48.0,74.0,13495.0,1349503.0,33198.0,47.0,72.0,1751.0,1806.0,23.0,23.0,1.0,1.0,20.0,1825.0,1922.0,6.0,1929.0,1925.0,22.0,22.0,1.0,1.0,0.0,0.0,125.0,121.0,97.0,1.0,667.0,3.0
max,499245.0,20366.0,6189.0,14107.0,1410702.0,31703.0,48.0,82.0,15919.0,1591902.0,35550.0,55.0,87.0,2342.0,2400.0,648.0,648.0,1.0,12.0,173.0,2400.0,2400.0,113.0,2359.0,2400.0,681.0,681.0,1.0,12.0,1.0,1.0,273.0,338.0,262.0,1.0,1389.0,6.0
