,index,airline_id,fl_num,origin_airport_id,origin_airport_seq_id,origin_city_market_id,origin_state_fips,origin_wac,dest_airport_id,dest_airport_seq_id,dest_city_market_id,dest_state_fips,dest_wac,crs_dep_time,dep_time,dep_delay,dep_delay_new,dep_del15,dep_delay_group,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,arr_delay_group,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,distance_group
count,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29196.0,29194.0,29194.0,29194.0,29194.0,29194.0,29194.0,29194.0,29192.0,29192.0,29196.0,29192.0,29170.0,29170.0,29170.0,29170.0,29196.0,29196.0,29196.0,29170.0,29170.0,29196.0,29196.0,29196.0
mean,244233.34580079463,19790.0,1588.3172352377037,11176.085799424578,1117612.787402384,30791.537573640224,15.524489656117277,43.40841211124812,12617.303329223181,1261733.0453829293,31939.213899164268,26.973763529250583,45.744656802301684,1408.9533840252088,1413.270672055902,5.56076591080359,7.3986778105090085,0.13475371651709256,-0.22884839350551484,19.496095088031787,1443.256593820648,1559.661927925459,6.153158399561524,1571.6536854363612,1563.4596464784872,0.5707233459033253,7.796023311621529,0.14220089132670552,-0.4323277339732602,6.850253459377997e-05,0.0008220304151253596,143.42437320180846,138.45598217346588,112.80754199520055,1.0,843.0376421427593,3.8519660227428414
std,140342.94660239233,0.0,616.840497321406,1287.6586810373872,128764.7214047273,745.0101827622819,9.232865876478028,21.408169323561854,1580.3719987125148,158036.7916776397,1391.4022744719448,15.132860145040153,21.043301344529333,466.948256825471,474.21842501281293,25.32979044285351,24.690934976820504,0.34146617159552106,1.4727112034390146,8.376236740076633,477.072936863803,477.29038817452124,3.663934970984279,473.5313546898648,482.25710763789954,28.310629472948182,25.023842269165797,0.34926205013208916,1.6396861192542604,0.008276484049086933,0.028659776944779516,72.71368707657159,72.30860152006109,70.68651021381677,0.0,611.2637147038461,2.3916864999628102
min,8640.0,19790.0,7.0,10397.0,1039705.0,30194.0,4.0,21.0,10135.0,1013503.0,30135.0,1.0,2.0,30.0,1.0,-18.0,0.0,0.0,-2.0,3.0,2.0,1.0,1.0,1.0,1.0,-55.0,0.0,0.0,-2.0,0.0,0.0,42.0,35.0,20.0,1.0,106.0,1.0
25%,119701.75,19790.0,1182.0,10397.0,1039705.0,30397.0,13.0,34.0,11259.0,1125903.0,30852.0,13.0,33.0,1025.0,1025.0,-3.0,0.0,0.0,-1.0,14.0,1043.0,1208.75,4.0,1218.0,1212.0,-12.0,0.0,0.0,-1.0,0.0,0.0,91.0,86.0,62.0,1.0,425.0,2.0
50%,245841.5,19790.0,1638.0,10397.0,1039705.0,30397.0,13.0,34.0,12478.0,1247802.0,31650.0,26.0,38.0,1400.0,1412.0,-1.0,0.0,0.0,-1.0,17.0,1431.0,1604.0,5.0,1613.0,1608.0,-5.0,0.0,0.0,-1.0,0.0,0.0,120.0,117.0,91.0,1.0,646.0,3.0
75%,352434.25,19790.0,2075.0,12266.0,1226603.0,30466.0,13.0,34.0,13931.0,1393102.0,33105.0,39.0,63.0,1800.0,1809.0,4.0,4.0,0.0,0.0,23.0,1827.0,1947.0,7.0,1955.0,1952.0,4.0,4.0,0.0,0.0,0.0,0.0,174.0,168.0,139.0,1.0,1020.0,5.0
max,478465.0,19790.0,2658.0,14771.0,1477101.0,32575.0,48.0,91.0,15919.0,1591902.0,35412.0,78.0,93.0,2358.0,2400.0,1037.0,1037.0,1.0,12.0,120.0,2400.0,2400.0,115.0,2359.0,2400.0,1010.0,1010.0,1.0,12.0,1.0,1.0,609.0,600.0,575.0,1.0,4502.0,11.0
