,fl_date,unique_carrier,carrier,tail_num,origin,origin_city_name,origin_state_abr,origin_state_nm,dest,dest_city_name,dest_state_abr,dest_state_nm,dep_time_blk,arr_time_blk
count,29303,29303,29303,29295,29303,29303,29303,29303,29303,29303,29303,29303,29303,29303
unique,30,1,1,623,9,9,8,8,80,79,40,40,19,19
top,2014-11-30,WN,WN,N317WN,MDW,"Chicago, IL",IL,Illinois,LAX,"Los Angeles, CA",CA,California,1000-1059,1700-1759
freq,1092,29303,29303,86,6367,6367,6367,6367,1308,1308,7258,7258,2224,2158
